Date,Rank_IC
2020-01-29,0.2300865742970171
2020-01-30,0.2174031062643878
2020-01-31,0.351491467015529
2020-02-01,0.45003528264744896
2020-02-03,0.3205493610388724
2020-02-04,0.25798572484871957
2020-02-05,0.19649351383232
2020-02-06,0.3575422032081469
2020-02-07,0.45536707981043467
2020-02-10,0.4654760639743135
2020-02-11,0.39879498511769484
2020-02-12,0.4306456429517654
2020-02-13,0.35948652549401844
2020-02-14,0.28182928577610883
2020-02-17,0.17848225053615657
2020-02-18,0.1666530971023435
2020-02-19,0.2429571734567581
2020-02-20,0.1565977313276915
2020-02-24,0.1637671331252928
2020-02-25,0.2723300321145489
2020-02-26,0.2573413671489031
2020-02-27,0.2569614073155257
2020-02-28,0.2517573627560849
2020-03-02,0.06704122961608933
2020-03-03,0.2569210741446561
2020-03-04,0.40312644192119507
2020-03-05,0.46589768101239254
2020-03-06,0.3493011274979315
2020-03-09,0.25804700683946113
2020-03-11,0.3213917390610958
2020-03-12,0.09380853023491612
2020-03-13,0.32793203895610984
2020-03-16,0.20594544515927019
2020-03-17,0.3203235281064051
2020-03-18,0.4106517671886229
2020-03-19,0.42415524635102353
2020-03-20,0.42162396873643065
2020-03-23,0.36879395220945477
2020-03-24,0.2340489050173951
2020-03-25,0.23970037488495172
2020-03-26,0.11154837871146063
2020-03-27,-0.08295106145772675
2020-03-30,0.00846744647094472
2020-03-31,-0.05010041802962192
2020-04-01,0.0335983933686845
2020-04-03,-0.11789930830233211
2020-04-07,0.13392350182911958
2020-04-08,0.14365601267667794
2020-04-09,0.15112365738827857
2020-04-13,-0.07978723404255318
2020-04-15,-0.10265179368746956
2020-04-16,-0.14280674144266384
2020-04-17,0.15611768629622455
2020-04-20,0.20028224055579677
2020-04-21,0.11398176291793313
2020-04-22,-0.06524276062868944
2020-04-23,-0.010476319752463215
2020-04-24,-0.13971665873049494
2020-04-27,-0.1932857492502189
2020-04-28,-0.36296034968722657
2020-04-29,-0.013786365610073816
2020-04-30,0.26022526887724684
2020-05-04,-0.004885065271698876
2020-05-05,-0.13971665873049494
2020-05-06,0.10742007289341472
2020-05-07,-0.13239245531739782
2020-05-08,-0.2196048632218845
2020-05-11,-0.22557533651758574
2020-05-12,-0.2758508390320028
2020-05-13,0.023503867631173948
2020-05-14,0.0559068581094427
2020-05-15,0.18363414364032668
2020-05-18,-0.000597160782745415
2020-05-19,-0.05563697560169282
2020-05-20,0.08402768381768422
2020-05-21,-0.1477420755536257
2020-05-22,-0.20872350435130646
2020-05-26,-0.3635870176676328
2020-05-27,-0.20235025925437125
2020-05-28,-0.16467650890143287
2020-05-29,-0.32014329960856996
2020-06-01,-0.32567985718064085
2020-06-02,-0.05552690858831057
2020-06-03,0.016555842095861556
2020-06-04,-0.1060174262673866
2020-06-05,-0.3371061019562062
2020-06-08,-0.047224861060326404
2020-06-09,-0.2424620729853209
2020-06-10,-0.08994192055805365
2020-06-11,-0.05634108613359371
2020-06-12,0.07837603126356926
2020-06-15,0.02078923088336424
2020-06-16,0.11832392531480677
2020-06-17,0.06529703913170831
2020-06-18,0.07712975278982337
2020-06-19,0.09852083083274991
2020-06-22,-0.16132446789803456
2020-06-23,-0.06823548633799537
2020-06-24,0.144493296635811
2020-06-25,-0.0656262724390053
2020-06-26,0.31350412505427705
2020-06-29,0.10379740150993032
2020-06-30,0.19318767875138124
2020-07-01,0.0181842855807004
2020-07-02,0.038320623131326746
2020-07-03,0.06356185212642175
2020-07-06,-0.04809989255647612
2020-07-07,-0.01796764748402306
2020-07-08,0.04429366278761648
2020-07-09,0.012756833165814569
2020-07-10,0.024860903868539647
2020-07-13,0.10091195369425641
2020-07-14,0.28447363432193123
2020-07-15,0.1704079724579871
2020-07-16,0.03023394674160283
2020-07-17,0.08505672270034406
2020-07-20,-0.300377235706462
2020-07-21,-0.24468634515059803
2020-07-22,-0.23323472747211194
2020-07-23,-0.19508752948369318
2020-07-24,-0.2907314434932278
2020-07-27,-0.12148518147807738
2020-07-28,-0.23260232467987557
2020-07-29,-0.19628552502717173
2020-07-30,-0.334302770984671
2020-07-31,-0.22230726086389063
2020-08-03,-0.19731605368590396
2020-08-04,-0.15107913688730323
2020-08-05,-0.022555048455066545
2020-08-06,-0.15480776635387045
2020-08-07,-0.0872538018626573
2020-08-10,-0.10720755285598783
2020-08-11,-0.016990662811034105
2020-08-12,0.16393693577132903
2020-08-13,-0.006173784384790169
2020-08-14,-0.12342466468435882
2020-08-17,-0.12112553895622356
2020-08-18,-0.03199306068297434
2020-08-19,0.17973056100093837
2020-08-20,-0.23435467068666016
2020-08-21,-0.23186039512509632
2020-08-24,-0.2916475334170298
2020-08-25,-0.48399193872735335
2020-08-26,-0.47663027087665605
2020-08-27,-0.583630985792441
2020-08-28,-0.6120720452887841
2020-08-31,-0.3780680760736149
2020-09-01,-0.3433338440103558
2020-09-02,-0.4491618472884519
2020-09-03,-0.12828821677836494
2020-09-04,-0.033675187553400925
2020-09-07,0.286938775510204
2020-09-08,0.3914685192340975
2020-09-09,0.3011378135457155
2020-09-10,0.1604755595661153
2020-09-11,0.23853257850325654
2020-09-14,0.30781397494646034
2020-09-15,0.34177829082789457
2020-09-16,0.34746670793736406
2020-09-17,0.4006326858625818
2020-09-18,0.06944054697532447
2020-09-21,0.23092425834703784
2020-09-22,0.04515536512842397
2020-09-23,-0.03883643913112823
2020-09-24,-0.27370139952707234
2020-09-25,-0.29597693828351007
2020-09-28,-0.27982447334199567
2020-09-29,-0.27676293643453403
2020-09-30,-0.15603234987150158
2020-10-01,-0.05296323713754697
2020-10-05,-0.22520408163265304
2020-10-06,-0.3067149725125339
2020-10-07,-0.25358436687939784
2020-10-08,-0.3379254047972338
2020-10-09,-0.3096076334455103
2020-10-12,-0.3383422210588381
2020-10-13,-0.4016428991842427
2020-10-14,-0.40901089488880205
2020-10-15,-0.34680340878858495
2020-10-16,-0.15337908558330077
2020-10-19,-0.04153273131586114
2020-10-20,-0.0823595457933344
2020-10-21,0.08051020408163265
2020-10-22,0.17456308344613727
2020-10-23,0.19286698326038712
2020-10-26,0.10683673469387754
2020-10-27,0.09143323650862796
2020-10-28,0.09556853868846384
2020-10-29,0.006939129556458371
2020-10-30,-0.029644369649281722
2020-11-02,0.10398224447884737
2020-11-03,0.10883208341121843
2020-11-04,-0.08373730771181025
2020-11-05,0.24429078748820468
2020-11-06,0.2426144194188203
2020-11-09,0.14200066373197806
2020-11-10,0.148539355718125
2020-11-11,0.20046941196562457
2020-11-12,0.31920810359585144
2020-11-13,0.3216918799995744
2020-11-14,0.25223248751948696
2020-11-17,0.26986070753020835
2020-11-18,0.042757283590530264
2020-11-19,0.10627822141778168
2020-11-20,-0.14237236468243364
2020-11-23,-0.07495471614167293
2020-11-24,-0.13526545438500676
2020-11-25,0.01265370683824762
2020-11-26,0.12588019251179855
2020-11-27,-0.1248054701719074
2020-12-01,0.05561508247455607
2020-12-02,-0.04000612385500258
2020-12-03,-0.22540890084299148
2020-12-04,-0.04291473234956272
2020-12-07,-0.016177183963601606
2020-12-08,0.13037044664274233
2020-12-09,0.35214574071858773
2020-12-10,0.18113169062814133
2020-12-11,-0.12971042330315138
2020-12-14,-0.1249043320162507
2020-12-15,0.08716509597367542
2020-12-16,0.026430594255538856
2020-12-17,-0.16069196286200124
2020-12-18,0.0143892234650698
2020-12-21,-0.04265523756764116
2020-12-22,0.08098178387485853
2020-12-23,0.12434625135279573
2020-12-24,0.08098385044839504
2020-12-28,0.07257138768623214
2020-12-29,0.1048199869439675
2020-12-30,-0.0319946934401615
2020-12-31,-0.09515791634407988
2021-01-01,0.1070626680806271
2021-01-04,-0.048074716737293015
2021-01-05,-0.029500333633879074
2021-01-06,-0.07367722852592565
2021-01-07,0.00668418503373666
2021-01-08,-0.04373341589375472
2021-01-11,-0.180783754385611
2021-01-12,-0.009031994798897268
2021-01-13,0.03214777809776993
2021-01-14,0.02199316247641086
2021-01-15,0.19445365773717874
2021-01-18,0.2916262727440558
2021-01-19,0.4930227813538283
2021-01-20,0.27144934640823687
2021-01-21,0.19783135765000706
2021-01-22,-0.06750344414113549
2021-01-25,-0.05633084181103262
2021-01-27,-0.12244897959183673
2021-01-28,-0.06439104044301812
2021-01-29,-0.087000893678943
2021-02-01,0.09413505449630687
2021-02-02,0.0197454016748351
2021-02-03,0.15796724343231705
2021-02-04,0.0072961044948357074
