Decile,Avg_20D_Return,Avg_20D_Excess,Win_Rate,Decile_Label
10,2.0646708717076914,0.6527489817249772,58.487115544472154,D10 (Top 10% Leaders)
9,1.727342847618515,0.31542095763580064,58.00498753117207,D9
8,1.7314103588713432,0.31948846888862875,57.77223607647548,D8
7,1.9089896073816026,0.46343226725867404,59.02919212491514,D7
6,1.7522031660705624,0.42226060709573093,58.767361111111114,D6
5,1.8785955667156797,0.4666736767329653,59.00249376558604,D5 (Median)
4,1.7867824099045324,0.34122506978160366,59.24983027834352,D4
3,2.0679313535093944,0.6560094635266801,60.26600166251039,D3
2,2.021411547595123,0.6094896576124084,59.06899418121363,D2
1,1.6572674193377925,0.26250107888547025,60.086541330945984,D1 (Bottom 10% Laggards)
