Date,Symbol,SecurityName,Quantity,YEAR
27-OCT-2022,HDFCAMC,HDFC AMC LIMITED,"7,200",2022
28-OCT-2022,BHARATFORG,BHARAT FORGE LTD,"8,000",2022
28-OCT-2022,CIPLA,CIPLA LTD,"18,200",2022
28-OCT-2022,IRCTC,INDIAN RAIL TOUR CORP LTD,"27,125",2022
31-OCT-2022,BHARTIARTL,BHARTI AIRTEL LIMITED,"83,600",2022
02-NOV-2022,AUBANK,AU SMALL FINANCE BANK LIMITED,"3,000",2022
02-NOV-2022,BHARATFORG,BHARAT FORGE LTD,"91,000",2022
10-NOV-2022,BHARATFORG,BHARAT FORGE LTD,"43,000",2022
10-NOV-2022,HEROMOTOCO,HERO MOTOCORP LTD,"41,700",2022
10-NOV-2022,IRCTC,INDIAN RAIL TOUR CORP LTD,"72,625",2022
10-NOV-2022,MUTHOOTFIN,MUTHOOT FINANCE LIMITED,"21,375",2022
