Date,Symbol,SecurityName,Quantity,YEAR
27-FEB-2024,BERGEPAINT,BERGER PAINTS (I) LIMITED,"13,200",2024
28-FEB-2024,SOUTHBANK,THE SOUTH INDIAN BANK LTD,"3,50,000",2024
29-FEB-2024,BERGEPAINT,BERGER PAINTS (I) LIMITED,"73,920",2024
29-FEB-2024,SOUTHBANK,THE SOUTH INDIAN BANK LTD,"5,18,050",2024
02-MAR-2024,SOUTHBANK,THE SOUTH INDIAN BANK LTD,"2,10,987",2024
13-MAR-2024,BHARATFORG,BHARAT FORGE LTD,"42,000",2024
14-MAR-2024,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,"10,000",2024
14-MAR-2024,SOUTHBANK,THE SOUTH INDIAN BANK LTD,"2,99,934",2024
15-MAR-2024,HDFCAMC,HDFC AMC LIMITED,"6,300",2024
15-MAR-2024,RBLBANK,RBL BANK LIMITED    ,"13,200",2024
15-MAR-2024,TATACHEM,TATA CHEMICALS LTD,"2,700",2024
15-MAR-2024,ZEEL,ZEE ENTERTAINMENT ENT LTD,"12,000",2024
20-MAR-2024,BAJAJ-AUTO,BAJAJ AUTO LIMITED,"17,000",2024
20-MAR-2024,PEL,PIRAMAL ENTERPRISES LTD,"2,170",2024
26-MAR-2024,HDFCAMC,HDFC AMC LIMITED,"12,825",2024
01-APR-2024,HINDCOPPER,HINDUSTAN COPPER LIMITED,"21,200",2024
01-APR-2024,IGL,INDRAPRASTHA GAS LTD,"1,375",2024
12-APR-2024,AUBANK,AU SMALL FINANCE BANK LIMITED,"11,000",2024
12-APR-2024,AUBANK,AU SMALL FINANCE BANK LIMITED,"29,000",2024
12-APR-2024,IDEA,IDEA CELLULAR LIMITED,"24,00,000",2024
15-APR-2024,IDEA,IDEA CELLULAR LIMITED,"24,00,000",2024
16-APR-2024,TATACHEM,TATA CHEMICALS LTD,"13,700",2024
24-APR-2024,PAGEIND,PAGE INDUSTRIES LTD,180,2024
25-APR-2024,TATACHEM,TATA CHEMICALS LTD,356,2024
26-APR-2024,LTTS,L&T TECHNOLOGY SER. LTD,"21,500",2024
29-APR-2024,LTTS,L&T TECHNOLOGY SER. LTD,"7,600",2024
06-MAY-2024,JUBLFOOD,JUBILANT FOODWORKS LTD,"70,000",2024
07-MAY-2024,LUPIN,LUPIN LIMITED,"14,875",2024
07-MAY-2024,UJJIVANSFB,UJJIVAN SMALL FINANC BANK,"44,487",2024
27-MAY-2024,ASTRAL,ASTRAL POLY TECHNIK LIMITED,"40,737",2024
27-MAY-2024,AUBANK,AU SMALL FINANCE BANK LIMITED,"1,27,000",2024
27-MAY-2024,BOSCHLTD,BOSCH LIMITED,75,2024
27-MAY-2024,IGL,INDRAPRASTHA GAS LTD,"1,375",2024
27-MAY-2024,JUBLFOOD,JUBILANT FOODWORKS LTD,"35,000",2024
28-MAY-2024,ASTRAL,ASTRAL POLY TECHNIK LIMITED,"32,296",2024
28-MAY-2024,AUBANK,AU SMALL FINANCE BANK LIMITED,"27,000",2024
28-MAY-2024,COROMANDEL,COROMANDEL INTERNTL. LTD ,"31,500",2024
28-MAY-2024,IGL,INDRAPRASTHA GAS LTD,"24,750",2024
28-MAY-2024,JUBLFOOD,JUBILANT FOODWORKS LTD,"10,000",2024
29-MAY-2024,COROMANDEL,COROMANDEL INTERNTL. LTD ,"2,800",2024
29-MAY-2024,DIVISLAB,DIVI'S LABORATORIES LTD,"19,000",2024
29-MAY-2024,JUBLFOOD,JUBILANT FOODWORKS LTD,"45,000",2024
30-MAY-2024,AUBANK,AU SMALL FINANCE BANK LIMITED,"1,23,000",2024
30-MAY-2024,IGL,INDRAPRASTHA GAS LTD,"2,750",2024
30-MAY-2024,JUBLFOOD,JUBILANT FOODWORKS LTD,"3,750",2024
30-MAY-2024,SBICARD,SBI CARDS & PAY SER LTD,"1,63,200",2024
31-MAY-2024,AUBANK,AU SMALL FINANCE BANK LIMITED,"1,01,000",2024
31-MAY-2024,BOSCHLTD,BOSCH LIMITED,"3,750",2024
31-MAY-2024,COROMANDEL,COROMANDEL INTERNTL. LTD ,"23,800",2024
03-JUN-2024,COROMANDEL,COROMANDEL INTERNTL. LTD ,"7,000",2024
04-JUN-2024,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,"2,000",2024
04-JUN-2024,NAVINFLUOR,NAVIN FLUORINE INT. LTD,600,2024
05-JUN-2024,ASTERDM,ASTER DM HEALTHCARE LTD,150,2024
05-JUN-2024,AUBANK,AU SMALL FINANCE BANK LIMITED,"19,954",2024
05-JUN-2024,CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,49,2024
05-JUN-2024,IRCON,IRCON,624,2024
05-JUN-2024,MARICO,MARICO LIMITED,"3,31,200",2024
05-JUN-2024,SCHAEFFLER,SCHAEFFLER INDIA LIMITED,8,2024
07-JUN-2024,CUMMINSIND,CUMMINS INDIA LTD,"1,200",2024
07-JUN-2024,INFY,INFOSYS TECHNOLOGIES LTD,"16,000",2024
07-JUN-2024,MARUTI,MARUTI SUZUKI INDIA LTD.,"26,850",2024
10-JUN-2024,MARUTI,MARUTI SUZUKI INDIA LTD.,"7,450",2024
10-JUN-2024,WIPRO,WIPRO LTD,"3,45,000",2024
11-JUN-2024,COROMANDEL,COROMANDEL INTERNTL. LTD ,"18,200",2024
11-JUN-2024,SBICARD,SBI CARDS & PAY SER LTD,"5,000",2024
11-JUN-2024,WIPRO,WIPRO LTD,"2,08,500",2024
12-JUN-2024,WIPRO,WIPRO LTD,"4,57,500",2024
13-JUN-2024,BHARTIARTL,BHARTI AIRTEL LIMITED,"48,925",2024
13-JUN-2024,GUJGASLTD,GUJARAT GAS LIMITED,"15,000",2024
13-JUN-2024,IPCALAB,IPCA LABORATORIES LIMITED,"38,350",2024
19-JUN-2024,COROMANDEL,COROMANDEL INTERNTL. LTD ,"9,800",2024
19-JUN-2024,GUJGASLTD,GUJARAT GAS LIMITED,"20,000",2024
19-JUN-2024,WIPRO,WIPRO LTD,"2,08,500",2024
20-JUN-2024,FACT,FACT LTD,"3,026",2024
20-JUN-2024,NFL,NATIONAL FERT. LTD,900,2024
20-JUN-2024,PAGEIND,PAGE INDUSTRIES LTD,465,2024
21-JUN-2024,ADANIPORTS,ADANI PORT & SEZ LTD,"1,02,800",2024
21-JUN-2024,COFORGE,COFORGE LIMITED,"3,150",2024
21-JUN-2024,ICICIBANK,ICICI BANK LTD.,"1,98,100",2024
21-JUN-2024,JUBLFOOD,JUBILANT FOODWORKS LTD,"51,250",2024
21-JUN-2024,PAGEIND,PAGE INDUSTRIES LTD,15,2024
24-JUN-2024,COFORGE,COFORGE LIMITED,150,2024
24-JUN-2024,PAGEIND,PAGE INDUSTRIES LTD,"1,860",2024
25-JUN-2024,DRREDDY,DR. REDDY'S LABORATORIES,"21,500",2024
25-JUN-2024,ICICIBANK,ICICI BANK LTD.,"72,100",2024
26-JUN-2024,ASIANPAINT,ASIAN PAINTS LIMITED,"51,200",2024
26-JUN-2024,DRREDDY,DR. REDDY'S LABORATORIES,"20,125",2024
26-JUN-2024,GRASIM,GRASIM INDUSTRIES LTD,735,2024
26-JUN-2024,MOTHERSON,SAMVRDHNA MTHRSN INT,"4,89,900",2024
27-JUN-2024,BOSCHLTD,BOSCH LIMITED,16,2024
27-JUN-2024,CUMMINSIND,CUMMINS INDIA LTD,"36,900",2024
27-JUN-2024,DRREDDY,DR. REDDY'S LABORATORIES,"28,000",2024
27-JUN-2024,EICHERMOT,EICHER MOTORS LIMITED,"40,250",2024
27-JUN-2024,GRASIM,GRASIM INDUSTRIES LTD,"3,44,015",2024
27-JUN-2024,MOTHERSON,SAMVRDHNA MTHRSN INT,"1,27,800",2024
27-JUN-2024,RAMCOCEM,THE RAMCO CEMENTS LIMITED,"1,07,100",2024
28-JUN-2024,ASIANPAINT,ASIAN PAINTS LIMITED,"4,400",2024
28-JUN-2024,CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,100,2024
28-JUN-2024,INFY,INFOSYS TECHNOLOGIES LTD,"68,000",2024
28-JUN-2024,MOTHERSON,SAMVRDHNA MTHRSN INT,"3,05,300",2024
28-JUN-2024,ULTRACEMCO,ULTRATECH CEMENT LIMITED,"10,000",2024
02-JUL-2024,INFY,INFOSYS TECHNOLOGIES LTD,"2,00,800",2024
02-JUL-2024,MGL,MAHANAGAR GAS LTD.    ,"7,600",2024
03-JUL-2024,COFORGE,COFORGE LIMITED,"1,200",2024
03-JUL-2024,HDFCBANK,HDFC BANK LTD,"87,450",2024
04-JUL-2024,ASIANPAINT,ASIAN PAINTS LIMITED,"44,600",2024
04-JUL-2024,BOSCHLTD,BOSCH LIMITED,437,2024
04-JUL-2024,COCHINSHIP,COCHIN SHIPYARD LIMITED,26,2024
04-JUL-2024,COFORGE,COFORGE LIMITED,"6,000",2024
04-JUL-2024,MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,1,2024
04-JUL-2024,MOTHERSON,SAMVRDHNA MTHRSN INT,"6,74,500",2024
05-JUL-2024,ASIANPAINT,ASIAN PAINTS LIMITED,"20,200",2024
05-JUL-2024,GUJGASLTD,GUJARAT GAS LIMITED,"1,250",2024
05-JUL-2024,ICICIBANK,ICICI BANK LTD.,"98,700",2024
05-JUL-2024,INFY,INFOSYS TECHNOLOGIES LTD,"36,000",2024
05-JUL-2024,UBL,UNITED BREWERIES LIMITED,"19,200",2024
08-JUL-2024,ICICIBANK,ICICI BANK LTD.,"55,300",2024
08-JUL-2024,INFY,INFOSYS TECHNOLOGIES LTD,"23,600",2024
08-JUL-2024,SBICARD,SBI CARDS & PAY SER LTD,"20,000",2024
