score_bucket,Observations,Avg_5D_Return,Avg_10D_Return,Avg_20D_Return,Avg_40D_Return,Avg_60D_Return,Win_Rate_20D,Avg_Excess_20D
0-10,422,0.17220113858410732,-0.4261500112836845,-2.113058409910886,-2.9410079146022627,-1.5429199494137171,43.838862559241704,0.2185464329243365
10-20,71066,0.29222603441323236,-0.1381398933927788,-0.6038974716962844,0.1673814963963943,1.879421314752169,43.269636675766186,-0.20213092393752594
20-30,167897,0.1404110107325262,0.1461759752387023,0.17908856604566112,0.9882911028299038,1.4261984166900779,45.24917062246496,-0.1453022541950194
30-40,123689,0.44506270866357034,0.8867500356393709,1.4518796146182924,2.416234636748895,2.5724103550868924,49.18869099111481,0.22852241118431071
40-50,29340,0.5162081385153375,1.3471604851431656,2.288284751801406,3.5782332034502526,3.4920668672043917,51.271301976823445,0.2276271624391755
50-60,30234,-0.042465123523099856,0.34881638610451227,0.7143710067070139,1.8278546600310719,1.592265391034936,44.860091287953956,-0.5392155308079892
60-70,111981,0.16609113355671287,0.5599589497156697,1.2830624232987706,2.738725783510451,3.160308608403192,48.34748752020432,-0.11351706876870966
70-80,138651,0.38117911407274946,0.7607306196484382,1.5656507962653847,2.542865724928575,2.912731485275987,49.322399405702086,-0.19109635968047356
80-90,79581,0.4959035460262051,0.9341641770991284,2.2085206517019356,3.4079661137251835,3.892713887514768,49.26678478531308,0.10493101155437434
90-100,12420,0.9688748379471145,1.2903778956692824,2.533272748652868,3.523251972906058,3.6596957924908464,47.39935587761674,0.6529591739273012
