Regime,Sessions_Count,Top_Decile_Excess (%),Bottom_Decile_Excess (%),Spread (%),Rank_IC
Bullish Market Expansion,142,3.42,-0.85,4.27,0.124
Sideways Sector Rotation,118,2.95,-1.45,4.4,0.115
Bearish Market Correction,65,1.15,-3.1,4.25,0.091
High Volatility Environment,40,2.1,-2.6,4.7,0.0985
