lifecycle_state,Observations,Avg_5D_Return,Avg_10D_Return,Event_A_Probability,Event_B_Probability,Win_Rate_5D
DISTRIBUTION (Liquidation),8212,0.9398442055869919,1.3198629893752227,10.394482090997096,8.071151984511133,56.14714424007744
MARKUP (Established Trend),1371,0.7575204117731344,1.0491594518476395,13.26530612244898,9.110787172011662,57.79883381924198
EARLY_ACCUMULATION (Precursor),2001,0.5130902253248811,0.9826657283380972,12.5,10.376447876447877,50.33783783783784
EMERGING (Broadening Participation),6414,0.42649846622290005,0.34351245577580924,12.915699922660478,10.348027842227378,54.13766434648105
BREAKOUT (Expansion Phase),1644,0.39061745149929517,0.5448549520435185,16.57559198542805,14.389799635701275,53.3090467516697
PRE_BREAKOUT (Highest Lead-Time),1144,0.2971409316849793,0.4846321044859868,12.531752751905165,9.822184589331075,49.3649449618967
EXHAUSTION (Distribution Warning),500,0.26367331064785926,1.3485237542811628,12.2,8.0,52.400000000000006
QUIET (Consolidation / Base),20509,0.24229694094952373,0.8198639550667373,12.361482613679787,8.248949178448605,50.26270538784868
BREAKDOWN (Downtrend),4876,-0.5989560898105647,-1.007106499310304,9.687946155415052,8.66816234958189,44.17703446869264
