T_Offset,Avg_Breadth_50,Avg_Return_20D,Avg_Dispersion
-60,34.090909090909086,0.0,12004.780995885902
-40,28.888888888888882,0.0,12465.503061290286
-20,89.1304347826087,0.0,12943.99486317107
-10,80.43478260869566,0.0,13693.803068808757
-5,76.08695652173914,0.0,14728.915962150844
-3,86.95652173913044,0.0,15312.112492672448
-1,89.1304347826087,0.0,15685.73282614859
0,78.26086956521739,0.0,14213.35441863599
1,78.26086956521739,0.0,15039.488117300622
3,53.333333333333336,0.0,15550.494220143411
5,64.44444444444444,0.0,15752.65605116102
10,63.04347826086956,0.0,14600.252118093342
20,73.33333333333333,0.0,14152.145861836192
40,54.34782608695651,0.0,15099.896437054009
60,21.27659574468085,0.0,15421.469213164823
