Industry,5D_P10,5D_P25,5D_P50,5D_P75,5D_P90,10D_P10,10D_P50,10D_P90,20D_P10,20D_P50,20D_P90
Gas Transmission & Distribution,-5.0,-3.25,-2.15,-0.9,1.3,-7.19,-3.09,2.11,-10.09,-4.29,3.31
Healthcare,-4.04,-2.29,-1.19,0.06,2.26,-5.77,-1.67,3.53,-8.05,-2.25,5.35
Heavy Electrical Equipment,-3.22,-1.47,-0.37,0.88,3.08,-4.56,-0.46,4.74,-6.32,-0.52,7.08
Hospitals & Diagnostic Centres,-4.08,-2.33,-1.23,0.02,2.22,-5.83,-1.73,3.47,-8.14,-2.34,5.26
Hospitals & Healthcare Services,-5.37,-3.62,-2.52,-1.27,0.93,-7.73,-3.63,1.57,-10.87,-5.07,2.53
Hotels & Restaurants,-4.65,-2.9,-1.8,-0.55,1.65,-6.67,-2.57,2.63,-9.34,-3.54,4.06
"Hotels, Resorts & QSR",-3.73,-1.98,-0.88,0.37,2.57,-5.32,-1.22,3.98,-7.41,-1.61,5.99
Housing & Urban Infrastructure Financing,-5.24,-3.49,-2.39,-1.14,1.06,-7.54,-3.44,1.76,-10.59,-4.79,2.81
IT Consulting & Software,-3.96,-2.21,-1.11,0.14,2.34,-5.65,-1.55,3.65,-7.89,-2.09,5.51
Information Technology,-4.49,-2.74,-1.64,-0.39,1.81,-6.43,-2.33,2.87,-9.01,-3.21,4.39
Insurance,-4.32,-2.57,-1.47,-0.22,1.98,-6.18,-2.08,3.12,-8.65,-2.85,4.75
Internet & Digital Platforms,-3.61,-1.86,-0.76,0.49,2.69,-5.14,-1.04,4.16,-7.15,-1.35,6.25
Iron & Steel,-4.67,-2.92,-1.82,-0.57,1.63,-6.69,-2.59,2.61,-9.38,-3.58,4.02
Logistics & Transportation,-4.24,-2.49,-1.39,-0.14,2.06,-6.06,-1.96,3.24,-8.48,-2.68,4.92
"Logistics, Ports & Supply Chain",-3.95,-2.2,-1.1,0.15,2.35,-5.64,-1.54,3.66,-7.87,-2.07,5.53
Lubricants & Specialty Oils,-3.69,-1.94,-0.84,0.41,2.61,-5.24,-1.14,4.06,-7.31,-1.51,6.09
