Industry,Extreme_Upside_Score,Extreme_Upside_Signature,P_gt_10pct,P_gt_15pct,P90_Potential (%),P95_Potential (%)
Internet & Digital Platforms,34.2,NEGATIVE DOWNSIDE PRESSURE,1.8,0.5,4.65,6.72
Iron & Steel,14.2,NEGATIVE DOWNSIDE PRESSURE,1.1,0.5,2.6,4.67
Logistics & Transportation,33.6,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.47,5.55
"Logistics, Ports & Supply Chain",22.6,NEGATIVE DOWNSIDE PRESSURE,1.5,0.5,3.96,6.03
Lubricants & Specialty Oils,13.5,NEGATIVE DOWNSIDE PRESSURE,1.7,0.5,4.42,6.5
Media & Entertainment,26.7,NEGATIVE DOWNSIDE PRESSURE,1.2,0.5,3.11,5.18
Media Entertainment & Publication,28.8,NEGATIVE DOWNSIDE PRESSURE,1.9,0.5,4.78,6.85
Metals & Mining,5.7,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,2.44,4.52
Microfinance NBFC,20.6,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.69,3.76
Mining & Mineral Products,21.9,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.38,5.45
Non Banking Financial Company (NBFC),22.9,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.44,5.51
Oil Exploration & Refining,28.0,NEGATIVE DOWNSIDE PRESSURE,1.2,0.5,2.99,5.06
Oil Gas & Consumable Fuels,26.8,NEGATIVE DOWNSIDE PRESSURE,2.2,0.6,5.23,7.3
Packaged Foods & Consumer Staples,33.1,NEGATIVE DOWNSIDE PRESSURE,1.4,0.5,3.75,5.82
Packaged Foods & FMCG Staples,25.2,NEGATIVE DOWNSIDE PRESSURE,1.1,0.5,2.66,4.73
Packaging & Containers,32.9,NEGATIVE DOWNSIDE PRESSURE,2.1,0.6,5.07,7.15
Packaging Materials & Containers,37.1,NEUTRAL / DORMANT,1.7,0.5,4.42,6.49
Paints,20.3,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.34,5.41
Paints & Coatings,22.5,NEGATIVE DOWNSIDE PRESSURE,2.0,0.6,5.01,7.08
Paper & Paper Products,10.8,NEGATIVE DOWNSIDE PRESSURE,1.1,0.5,2.71,4.79
Passenger Cars & Utility Vehicles,17.2,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.33,5.4
Pharmaceuticals,33.6,NEGATIVE DOWNSIDE PRESSURE,1.7,0.5,4.3,6.37
Pharmaceuticals & Biotechnology,25.0,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.2,5.28
Pipes & Tubes,45.4,NEUTRAL / DORMANT,1.8,0.5,4.64,6.72
Plastic Pipes & Fittings,26.6,NEGATIVE DOWNSIDE PRESSURE,1.9,0.5,4.78,6.85
Plastic Pipes & Moulded Products,22.5,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,2.07,4.14
Plywood & Boards,27.8,NEGATIVE DOWNSIDE PRESSURE,1.1,0.5,2.55,4.62
"Plywood, MDF & Laminates",35.9,NEUTRAL / DORMANT,1.4,0.5,3.53,5.6
Power,12.5,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.94,4.01
Power Generation & Distribution,12.5,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.5,3.57
Power Generation & Utilities,7.6,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.84,3.91
Power Sector Financing NBFC,13.4,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.52,3.6
Project Management & Civil Construction,18.3,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.65,3.72
Pumps & Compressors,8.1,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,2.45,4.53
Railway Financing,18.3,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.6,3.68
Railway Infrastructure,17.7,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.64,3.71
Railway Infrastructure & Consulting,15.4,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.6,3.68
Railway Telecom,40.0,NEUTRAL / DORMANT,1.6,0.5,4.2,6.28
Railway Ticketing & Catering,12.7,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.55,3.63
Railway Wagons & Equipment,18.9,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.62,3.7
Railways,23.8,NEGATIVE DOWNSIDE PRESSURE,1.4,0.5,3.58,5.65
Realty,33.6,NEGATIVE DOWNSIDE PRESSURE,1.8,0.5,4.45,6.53
Renewable Energy,33.0,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,2.42,4.49
Renewable Energy - Solar & Wind,25.9,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,2.2,4.27
Renewable Energy Financing NBFC,18.5,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.62,3.69
Residential & Commercial Real Estate,24.3,NEGATIVE DOWNSIDE PRESSURE,1.2,0.5,2.92,4.99
Roads & Highways EPC,21.0,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.65,3.72
Rubber Chemicals,25.1,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.8,3.87
Saw Pipes & Ductile Iron Pipes,57.5,MODERATE UPSIDE SIGNATURE,5.1,1.2,7.96,10.04
Semiconductors & Electronic Components,,NEUTRAL / DORMANT,1.0,0.5,2.32,4.37
Services,34.6,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.43,5.51
Ship Building & Defence,7.0,NEGATIVE DOWNSIDE PRESSURE,1.5,0.5,3.93,6.01
Software Products & Digital Services,28.4,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.3,5.37
Specialty Chemicals,18.3,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.49,5.56
Steel Manufacturing & Mining,37.8,NEUTRAL / DORMANT,2.2,0.6,5.25,7.33
Stockbroking & Financial Products,23.8,NEGATIVE DOWNSIDE PRESSURE,1.4,0.5,3.69,5.76
Structural Steel Tubes & Pipes,37.9,NEUTRAL / DORMANT,2.2,0.6,5.23,7.3
Sugar & Bio-Ethanol,43.2,NEUTRAL / DORMANT,1.6,0.5,4.21,6.28
Superalloys & Special Metals,21.6,NEGATIVE DOWNSIDE PRESSURE,2.2,0.6,5.19,7.27
Tea & Coffee,42.6,NEUTRAL / DORMANT,1.8,0.5,4.45,6.52
Telecom Services & Infrastructure,19.1,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,2.37,4.45
Telecommunication,24.0,NEGATIVE DOWNSIDE PRESSURE,1.1,0.5,2.78,4.85
Textiles,35.0,NEUTRAL / DORMANT,2.3,0.6,5.35,7.42
Textiles & Apparel,17.9,NEGATIVE DOWNSIDE PRESSURE,1.2,0.5,3.16,5.24
"Textiles, Yarns & Apparel",43.8,NEUTRAL / DORMANT,1.6,0.5,4.1,6.17
Tractors & Farm Equipment,26.2,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.45,5.53
Transformers & T&D Equipment,14.4,NEGATIVE DOWNSIDE PRESSURE,1.4,0.5,3.72,5.79
Travel Tech SaaS Solutions,57.3,MODERATE UPSIDE SIGNATURE,4.8,1.1,7.8,9.87
Tyres & Rubber Products,11.3,NEGATIVE DOWNSIDE PRESSURE,1.1,0.5,2.69,4.76
Utilities,22.8,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.61,3.69
Water & Wastewater Treatment,37.9,NEUTRAL / DORMANT,1.0,0.5,1.95,4.03
Wealth & Asset Management,34.4,NEGATIVE DOWNSIDE PRESSURE,2.2,0.6,5.19,7.26
Wires & Cables,25.8,NEGATIVE DOWNSIDE PRESSURE,1.4,0.5,3.71,5.78
Zinc & Silver Mining,54.8,NEUTRAL / DORMANT,4.8,1.1,7.83,9.9
