Threshold_pct,Mean_Predicted_Prob_pct,Realized_Base_Rate_pct,Brier_Score,ECE_Error,Calibration_Quality
+5%,30.3,17.6,0.0793,0.1278,ACCEPTABLE
+8%,22.5,9.1,0.0546,0.1344,ACCEPTABLE
+10%,18.1,6.1,0.0403,0.12,EXCELLENT
+15%,10.0,2.2,0.0168,0.0774,EXCELLENT
+20%,5.2,1.0,0.0062,0.0416,EXCELLENT
