Lead_Window,Percentage,Mean_Return_5D
1 Day Before Expansion,24.5%,+3.45%
2 Days Before Expansion,28.2%,+3.15%
3 Days Before Expansion,21.8%,+2.85%
4 Days Before Expansion,14.2%,+2.45%
5 Days Before Expansion,11.3%,+2.10%
