industry,constituent_count,reliability_tier,P_positive,P_gt_5pct,P_gt_8pct,P_gt_10pct,P_gt_15pct
Media Entertainment & Publication,2,RESEARCH_ONLY,45.0,22.3,11.2,7.4,2.6
Metals & Mining,7,MODERATE_RELIABILITY,33.3,15.1,7.7,5.3,1.9
Microfinance NBFC,1,RESEARCH_ONLY,21.0,9.2,4.9,3.5,1.4
Mining & Mineral Products,8,MODERATE_RELIABILITY,40.2,19.1,9.6,6.4,2.3
Non Banking Financial Company (NBFC),124,VERY_HIGH_RELIABILITY,31.3,14.0,7.2,4.9,1.8
Oil Exploration & Refining,15,VERY_HIGH_RELIABILITY,28.1,12.4,6.5,4.5,1.7
Oil Gas & Consumable Fuels,1,RESEARCH_ONLY,49.3,25.5,12.7,8.3,2.8
Packaged Foods & Consumer Staples,13,HIGH_RELIABILITY,33.7,15.3,7.8,5.3,2.0
Packaged Foods & FMCG Staples,20,VERY_HIGH_RELIABILITY,24.9,10.9,5.8,4.0,1.6
Packaging & Containers,3,RESEARCH_ONLY,47.8,24.4,12.1,8.0,2.7
Packaging Materials & Containers,8,MODERATE_RELIABILITY,41.7,20.1,10.1,6.7,2.4
Paints,4,RESEARCH_ONLY,26.0,11.4,6.0,4.2,1.6
Paints & Coatings,2,RESEARCH_ONLY,47.2,23.9,11.9,7.9,2.7
Paper & Paper Products,11,HIGH_RELIABILITY,25.5,11.2,5.9,4.1,1.6
Passenger Cars & Utility Vehicles,2,RESEARCH_ONLY,20.4,8.9,4.8,3.4,1.4
Pharmaceuticals,39,VERY_HIGH_RELIABILITY,36.0,16.6,8.5,5.7,2.1
Pharmaceuticals & Biotechnology,38,VERY_HIGH_RELIABILITY,35.9,16.6,8.4,5.7,2.1
Pipes & Tubes,18,VERY_HIGH_RELIABILITY,42.1,20.3,10.2,6.8,2.4
Plastic Pipes & Fittings,3,RESEARCH_ONLY,34.8,15.9,8.1,5.5,2.0
Plastic Pipes & Moulded Products,2,RESEARCH_ONLY,14.2,6.3,3.5,2.6,1.1
Plywood & Boards,1,RESEARCH_ONLY,26.6,11.7,6.1,4.2,1.6
"Plywood, MDF & Laminates",7,MODERATE_RELIABILITY,30.1,13.4,7.0,4.8,1.8
Power,6,MODERATE_RELIABILITY,26.3,11.6,6.1,4.2,1.6
Power Generation & Distribution,1,RESEARCH_ONLY,19.9,8.7,4.7,3.3,1.3
Power Generation & Utilities,11,HIGH_RELIABILITY,21.9,9.6,5.1,3.6,1.4
Power Sector Financing NBFC,1,RESEARCH_ONLY,20.0,8.8,4.7,3.3,1.3
Project Management & Civil Construction,1,RESEARCH_ONLY,20.7,9.1,4.9,3.4,1.4
Pumps & Compressors,10,HIGH_RELIABILITY,28.4,12.6,6.6,4.5,1.7
Railway Financing,1,RESEARCH_ONLY,20.5,9.0,4.8,3.4,1.4
Railway Infrastructure,2,RESEARCH_ONLY,20.7,9.1,4.9,3.4,1.4
Railway Infrastructure & Consulting,1,RESEARCH_ONLY,20.5,9.0,4.8,3.4,1.4
Railway Telecom,1,RESEARCH_ONLY,39.8,18.9,9.5,6.4,2.3
Railway Ticketing & Catering,1,RESEARCH_ONLY,20.2,8.8,4.8,3.4,1.3
Railway Wagons & Equipment,3,RESEARCH_ONLY,20.6,9.0,4.9,3.4,1.4
Railways,3,RESEARCH_ONLY,34.4,15.7,8.0,5.4,2.0
Realty,3,RESEARCH_ONLY,32.1,14.5,7.5,5.1,1.9
Renewable Energy,8,MODERATE_RELIABILITY,25.6,11.2,5.9,4.1,1.6
Renewable Energy - Solar & Wind,10,HIGH_RELIABILITY,26.5,11.7,6.1,4.2,1.6
Renewable Energy Financing NBFC,1,RESEARCH_ONLY,20.5,9.0,4.8,3.4,1.4
Residential & Commercial Real Estate,37,VERY_HIGH_RELIABILITY,27.8,12.3,6.4,4.4,1.7
Roads & Highways EPC,1,RESEARCH_ONLY,20.7,9.1,4.9,3.4,1.4
Rubber Chemicals,1,RESEARCH_ONLY,21.6,9.4,5.1,3.6,1.4
Saw Pipes & Ductile Iron Pipes,1,RESEARCH_ONLY,72.7,59.7,31.1,19.8,5.3
Semiconductors & Electronic Components,1,RESEARCH_ONLY,18.2,8.0,4.4,3.1,1.3
Services,16,VERY_HIGH_RELIABILITY,29.9,13.3,6.9,4.7,1.8
Ship Building & Defence,3,RESEARCH_ONLY,20.6,9.0,4.9,3.4,1.4
Software Products & Digital Services,62,VERY_HIGH_RELIABILITY,32.1,14.5,7.5,5.1,1.9
Specialty Chemicals,40,VERY_HIGH_RELIABILITY,30.9,13.9,7.2,4.9,1.8
Steel Manufacturing & Mining,1,RESEARCH_ONLY,49.4,25.7,12.8,8.4,2.8
Stockbroking & Financial Products,16,VERY_HIGH_RELIABILITY,28.5,12.6,6.6,4.5,1.7
Structural Steel Tubes & Pipes,1,RESEARCH_ONLY,49.3,25.5,12.7,8.3,2.8
Sugar & Bio-Ethanol,28,VERY_HIGH_RELIABILITY,36.6,16.9,8.6,5.8,2.1
Superalloys & Special Metals,1,RESEARCH_ONLY,48.9,25.2,12.6,8.2,2.8
Tea & Coffee,13,HIGH_RELIABILITY,37.4,17.4,8.8,5.9,2.1
Telecom Services & Infrastructure,10,HIGH_RELIABILITY,25.3,11.1,5.9,4.1,1.6
Telecommunication,6,MODERATE_RELIABILITY,24.2,10.6,5.6,3.9,1.5
Textiles,3,RESEARCH_ONLY,50.3,26.4,13.1,8.6,2.9
Textiles & Apparel,29,VERY_HIGH_RELIABILITY,28.4,12.6,6.6,4.5,1.7
"Textiles, Yarns & Apparel",15,VERY_HIGH_RELIABILITY,38.9,18.3,9.3,6.2,2.2
Tractors & Farm Equipment,2,RESEARCH_ONLY,33.4,15.2,7.8,5.3,1.9
Transformers & T&D Equipment,13,HIGH_RELIABILITY,42.6,20.7,10.4,6.9,2.4
Travel Tech SaaS Solutions,1,RESEARCH_ONLY,71.4,57.3,29.7,18.9,5.0
Tyres & Rubber Products,9,MODERATE_RELIABILITY,24.8,10.9,5.8,4.0,1.6
Utilities,1,RESEARCH_ONLY,20.5,9.0,4.8,3.4,1.4
Water & Wastewater Treatment,5,MODERATE_RELIABILITY,22.6,9.9,5.3,3.7,1.5
Wealth & Asset Management,1,RESEARCH_ONLY,48.8,25.2,12.5,8.2,2.8
Wires & Cables,23,VERY_HIGH_RELIABILITY,35.6,16.4,8.3,5.6,2.0
Zinc & Silver Mining,1,RESEARCH_ONLY,71.7,57.9,30.0,19.1,5.1
