industry,macro_sector,constituent_count,breadth_status,reliability_tier,confidence_score,current_strength,leadership_state,leadership_acceleration,forward_opportunity_score,best_horizon,final_opportunity_class,5D_exp_ret,10D_exp_ret,20D_exp_ret,30D_exp_ret,5D_exp_excess,10D_exp_excess,20D_exp_excess,30D_exp_excess,20D_P10,20D_P25,20D_P50,20D_P75,20D_P90,20D_P95,20D_P_pos,20D_P_gt_5,20D_P_gt_8,20D_P_gt_10,20D_P_gt_15,upside_asymmetry_score,model_consensus_score,analog_quality_score,data_completeness,regime_compatibility,primary_strength_rank,primary_opportunity_rank
Tyres & Rubber Products,Other,9,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,61.0,8.8,NEUTRAL,50.0,27.0,30D,LAGGARD,-1.75,-2.34,-3.01,-3.47,-1.9,-2.69,-3.81,-4.67,-11.04,-6.47,-1.91,2.23,6.36,9.66,24.8,10.9,5.8,4.0,1.6,47.4,86.4,79.2,100.0%,HIGH,59,64
Diversified & Fashion Retail,Other,13,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,74.0,9.6,NEUTRAL,50.0,27.0,30D,LAGGARD,-1.64,-2.19,-2.79,-3.19,-1.79,-2.54,-3.59,-4.39,-8.95,-4.88,-0.81,2.11,5.03,7.73,26.3,11.6,6.1,4.2,1.6,40.3,86.4,79.2,100.0%,HIGH,56,64
Telecommunication,Other,6,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,49.0,6.2,NEUTRAL,50.0,26.8,30D,LAGGARD,-1.81,-2.42,-3.11,-3.59,-1.96,-2.77,-3.91,-4.79,-10.19,-5.63,-1.07,3.24,7.54,10.22,24.2,10.6,5.6,3.9,1.5,49.1,86.4,79.2,100.0%,HIGH,68,67
Chemicals,Other,10,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,65.0,3.2,NEUTRAL,50.0,26.7,30D,LAGGARD,-1.93,-2.59,-3.35,-3.89,-2.08,-2.94,-4.15,-5.09,-9.22,-5.56,-1.91,1.87,5.64,8.35,22.6,9.9,5.3,3.7,1.5,52.8,86.4,79.2,100.0%,HIGH,72,68
Civil Construction & Infrastructure EPC,Other,10,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,65.0,9.0,NEUTRAL,50.0,26.6,30D,LAGGARD,-1.77,-2.37,-3.05,-3.51,-1.92,-2.72,-3.85,-4.71,-10.01,-5.97,-1.94,1.48,4.89,7.01,24.6,10.8,5.7,4.0,1.5,45.5,86.4,79.2,100.0%,HIGH,58,69
Water & Wastewater Treatment,Other,5,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,45.0,2.3,NEUTRAL,50.0,26.5,30D,LAGGARD,-1.93,-2.59,-3.36,-3.89,-2.08,-2.94,-4.16,-5.09,-9.97,-5.4,-0.83,3.73,8.29,11.5,22.6,9.9,5.3,3.7,1.5,51.4,86.4,79.2,100.0%,HIGH,74,70
Air Conditioners & AC Components,Other,9,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,61.0,3.9,NEUTRAL,50.0,26.3,30D,LAGGARD,-1.92,-2.58,-3.35,-3.88,-2.07,-2.93,-4.15,-5.08,-9.69,-5.12,-0.54,3.86,8.26,11.06,22.6,9.9,5.3,3.7,1.5,49.9,86.4,79.2,100.0%,HIGH,71,71
Packaged Foods & FMCG Staples,Other,20,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,82.5,6.4,NEUTRAL,50.0,26.1,30D,LAGGARD,-1.75,-2.34,-3.0,-3.46,-1.9,-2.69,-3.8,-4.66,-9.33,-5.52,-1.7,1.02,3.75,5.88,24.9,10.9,5.8,4.0,1.6,40.8,86.4,79.2,100.0%,HIGH,67,72
Fertilizers & Agrochemicals,Other,17,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,81.0,2.6,NEUTRAL,50.0,26.0,30D,LAGGARD,-2.0,-2.69,-3.5,-4.07,-2.15,-3.04,-4.3,-5.27,-8.94,-4.61,-0.27,3.85,7.97,10.65,21.7,9.5,5.1,3.6,1.4,49.4,86.4,79.2,100.0%,HIGH,73,73
Financial Services,Other,12,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,71.0,11.8,NEUTRAL,50.0,25.5,30D,LAGGARD,-1.5,-1.98,-2.5,-2.84,-1.65,-2.33,-3.3,-4.04,-12.1,-6.07,-0.03,2.97,5.97,8.82,28.4,12.6,6.6,4.5,1.7,21.7,86.4,79.2,100.0%,HIGH,49,74
Civil Construction & Infrastructure,Other,43,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,94.0,7.1,NEUTRAL,50.0,24.4,30D,LAGGARD,-1.79,-2.4,-3.09,-3.56,-1.94,-2.75,-3.89,-4.76,-15.04,-8.3,-1.56,3.27,8.1,11.04,24.3,10.7,5.6,3.9,1.5,32.6,86.4,79.2,100.0%,HIGH,65,75
