industry,macro_sector,constituent_count,breadth_status,reliability_tier,confidence_score,current_strength,leadership_state,leadership_acceleration,forward_opportunity_score,best_horizon,final_opportunity_class,5D_exp_ret,10D_exp_ret,20D_exp_ret,30D_exp_ret,5D_exp_excess,10D_exp_excess,20D_exp_excess,30D_exp_excess,20D_P10,20D_P25,20D_P50,20D_P75,20D_P90,20D_P95,20D_P_pos,20D_P_gt_5,20D_P_gt_8,20D_P_gt_10,20D_P_gt_15,upside_asymmetry_score,model_consensus_score,analog_quality_score,data_completeness,regime_compatibility,primary_strength_rank,primary_opportunity_rank
Information Technology,Other,9,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,61.0,18.4,NEUTRAL,50.0,35.6,30D,LAGGARD,-1.02,-1.3,-1.53,-1.66,-1.17,-1.65,-2.33,-2.86,-8.83,-4.19,0.46,5.55,10.65,16.6,36.2,16.7,8.5,5.7,2.1,57.1,86.4,79.2,100.0%,HIGH,31,15
Wires & Cables,Other,23,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,84.0,23.2,NEUTRAL,50.0,35.5,30D,LAGGARD,-1.05,-1.35,-1.6,-1.74,-1.2,-1.7,-2.4,-2.94,-9.55,-4.37,0.82,6.63,12.44,18.42,35.6,16.4,8.3,5.6,2.0,58.8,86.4,79.2,100.0%,HIGH,12,17
Consumer Durables,Other,22,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,83.5,21.5,NEUTRAL,50.0,35.4,30D,LAGGARD,-1.01,-1.3,-1.53,-1.65,-1.16,-1.65,-2.33,-2.85,-8.95,-4.79,-0.62,3.84,8.3,17.76,36.2,16.7,8.5,5.7,2.1,55.5,86.4,79.2,100.0%,HIGH,21,18
API & CDMO / CRAMS,Other,9,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,61.0,26.5,NEUTRAL,50.0,35.4,30D,LAGGARD,-0.98,-1.25,-1.46,-1.56,-1.13,-1.6,-2.26,-2.76,-8.01,-2.81,2.4,7.66,12.93,16.01,36.8,17.0,8.7,5.8,2.1,53.2,86.4,79.2,100.0%,HIGH,5,18
Capital Markets & Asset Management,Other,11,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,68.0,21.7,NEUTRAL,50.0,35.2,30D,LAGGARD,-0.95,-1.21,-1.41,-1.5,-1.1,-1.56,-2.21,-2.7,-10.35,-5.33,-0.31,4.52,9.35,11.98,37.2,17.3,8.8,5.9,2.1,50.7,86.4,79.2,100.0%,HIGH,20,20
Pharmaceuticals,Other,39,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,92.0,22.0,NEUTRAL,50.0,34.7,30D,LAGGARD,-1.02,-1.31,-1.55,-1.67,-1.17,-1.66,-2.35,-2.87,-6.31,-3.08,0.15,3.3,6.45,8.6,36.0,16.6,8.5,5.7,2.1,51.7,86.4,79.2,100.0%,HIGH,17,21
Auto Parts & Equipment,Other,40,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,92.5,24.2,NEUTRAL,50.0,34.6,30D,LAGGARD,-1.0,-1.27,-1.49,-1.61,-1.15,-1.62,-2.29,-2.81,-7.76,-3.58,0.59,4.4,8.2,10.25,36.5,16.9,8.6,5.8,2.1,48.9,86.4,79.2,100.0%,HIGH,10,22
Healthcare,Other,14,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,77.0,21.2,NEUTRAL,50.0,34.2,30D,LAGGARD,-1.04,-1.33,-1.58,-1.71,-1.19,-1.68,-2.38,-2.91,-8.1,-3.81,0.47,4.45,8.43,11.21,35.8,16.5,8.4,5.7,2.1,49.5,86.4,79.2,100.0%,HIGH,22,23
Pharmaceuticals & Biotechnology,Other,38,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,91.5,19.9,NEUTRAL,50.0,34.0,30D,LAGGARD,-1.03,-1.32,-1.56,-1.69,-1.18,-1.67,-2.36,-2.89,-7.05,-3.82,-0.58,2.16,4.9,6.72,35.9,16.6,8.4,5.7,2.1,47.6,86.4,79.2,100.0%,HIGH,29,24
Hospitals & Diagnostic Centres,Other,32,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,88.5,20.2,NEUTRAL,50.0,33.6,30D,LAGGARD,-1.09,-1.41,-1.68,-1.84,-1.24,-1.76,-2.48,-3.04,-6.08,-2.96,0.17,2.96,5.74,7.88,34.9,16.0,8.2,5.5,2.0,49.1,86.4,79.2,100.0%,HIGH,27,25
