Probability_Bucket,Sample_Count,Mean_Predicted_Prob (%),Realized_Positive_Rate (%),Calibration_Delta (%),Bucket_Brier_Score
20-30%,2,25.4,50.0,24.6,0.2776
30-40%,5,34.5,40.0,5.5,0.2623
40-45%,6,43.7,66.7,23.0,0.2749
45-50%,15,48.2,46.7,-1.5,0.2496
50-55%,46,53.2,32.6,-20.6,0.2639
55-60%,109,57.8,45.0,-12.8,0.265
60-70%,358,64.7,37.2,-27.5,0.3109
70-80%,178,74.7,37.6,-37.0,0.3705
80-100%,85,84.6,36.5,-48.2,0.4624
