Timeline,Avg_Radar_Score,Accumulation_Pressure,Synchronization,Breadth_50,Vol_Compression,Forward_5D_Return
T-10,45.2,48.2,42.5,42.1,1.15,+0.15%
T-7,54.8,58.4,52.4,51.0,0.92,+0.45%
T-5,68.2,71.5,66.8,62.4,0.76,+1.12%
T-3,79.5,82.4,78.5,74.2,0.68,+1.95%
T-1,88.4,89.6,87.2,82.5,0.62,+2.85%
T0 (Blast),92.1,91.5,92.0,88.4,1.05,+6.42%
T+3,72.4,68.2,79.5,84.1,1.45,+3.85%
T+5,58.2,52.4,68.2,78.5,1.65,+2.10%
