Industry,P_Pos_20D,P_Beat_Smallcap_20D,P_Gt_2pct_20D,P_Gt_5pct_20D,P_Gt_8pct_20D,P_Gt_10pct_20D,P_Gt_15pct_20D,P_Gt_20pct_20D,P_Excess_Gt_2pct_20D,P_Excess_Gt_5pct_20D,P_Excess_Gt_10pct_20D
Hotels & Restaurants,29.3,24.1,16.9,5.8,1.4,1.0,0.5,0.1,13.3,4.3,0.5
"Hotels, Resorts & QSR",42.6,36.4,27.5,11.2,3.3,1.2,0.5,0.1,22.5,8.6,0.8
Housing & Urban Infrastructure Financing,22.1,17.7,11.8,3.6,1.0,1.0,0.5,0.1,9.1,2.6,0.5
IT Consulting & Software,38.9,32.9,24.3,9.4,2.7,1.0,0.5,0.1,19.7,7.2,0.6
Information Technology,31.8,26.3,18.8,6.6,1.7,1.0,0.5,0.1,14.9,4.9,0.5
Insurance,33.2,27.6,19.8,7.1,1.9,1.0,0.5,0.1,15.8,5.3,0.5
Internet & Digital Platforms,44.5,38.2,29.1,12.1,3.7,1.4,0.5,0.1,24.0,9.3,1.0
Iron & Steel,28.8,23.7,16.6,5.6,1.4,1.0,0.5,0.1,13.0,4.1,0.5
Logistics & Transportation,35.2,29.5,21.4,7.9,2.1,1.0,0.5,0.1,17.2,5.9,0.5
"Logistics, Ports & Supply Chain",39.0,33.0,24.5,9.5,2.7,1.0,0.5,0.1,19.8,7.2,0.7
Lubricants & Specialty Oils,42.7,36.5,27.6,11.2,3.3,1.2,0.5,0.1,22.6,8.6,0.9
Media & Entertainment,32.5,27.0,19.3,6.9,1.8,1.0,0.5,0.1,15.3,5.1,0.5
Media Entertainment & Publication,45.6,39.3,30.1,12.7,3.9,1.5,0.5,0.1,24.8,9.8,1.0
Metals & Mining,27.7,22.7,15.8,5.2,1.3,1.0,0.5,0.1,12.4,3.8,0.5
Microfinance NBFC,22.8,18.3,12.3,3.8,1.0,1.0,0.5,0.1,9.5,2.7,0.5
Mining & Mineral Products,34.5,28.8,20.9,7.6,2.0,1.0,0.5,0.1,16.7,5.7,0.5
Non Banking Financial Company (NBFC),34.9,29.2,21.2,7.8,2.1,1.0,0.5,0.1,17.0,5.9,0.5
Oil Exploration & Refining,31.6,26.2,18.6,6.6,1.7,1.0,0.5,0.1,14.8,4.9,0.5
Oil Gas & Consumable Fuels,49.3,42.8,33.4,14.7,4.8,1.9,0.5,0.1,27.8,11.5,1.3
Packaged Foods & Consumer Staples,37.4,31.5,23.1,8.8,2.4,1.0,0.5,0.1,18.7,6.6,0.6
Packaged Foods & FMCG Staples,29.2,24.0,16.9,5.7,1.4,1.0,0.5,0.1,13.3,4.2,0.5
Packaging & Containers,48.0,41.6,32.2,14.0,4.5,1.7,0.5,0.1,26.8,10.9,1.2
Packaging Materials & Containers,42.7,36.5,27.5,11.2,3.3,1.2,0.5,0.1,22.5,8.6,0.8
Paints,34.2,28.6,20.6,7.5,2.0,1.0,0.5,0.1,16.5,5.6,0.5
Paints & Coatings,47.5,41.1,31.7,13.7,4.3,1.7,0.5,0.1,26.3,10.6,1.2
Paper & Paper Products,29.6,24.4,17.2,5.9,1.4,1.0,0.5,0.1,13.5,4.3,0.5
Passenger Cars & Utility Vehicles,34.1,28.5,20.6,7.5,2.0,1.0,0.5,0.1,16.4,5.6,0.5
Pharmaceuticals,41.7,35.6,26.7,10.8,3.2,1.2,0.5,0.1,21.8,8.2,0.8
Pharmaceuticals & Biotechnology,33.2,27.6,19.8,7.1,1.9,1.0,0.5,0.1,15.8,5.3,0.5
Pipes & Tubes,44.5,38.2,29.1,12.1,3.7,1.4,0.5,0.1,24.0,9.3,1.0
Plastic Pipes & Fittings,45.6,39.3,30.1,12.7,3.9,1.5,0.5,0.1,24.8,9.8,1.0
Plastic Pipes & Moulded Products,25.2,20.5,14.0,4.5,1.0,1.0,0.5,0.1,10.9,3.2,0.5
Plywood & Boards,28.4,23.4,16.3,5.5,1.3,1.0,0.5,0.1,12.8,4.0,0.5
"Plywood, MDF & Laminates",35.7,29.9,21.8,8.1,2.2,1.0,0.5,0.1,17.5,6.1,0.5
Power,24.3,19.7,13.4,4.2,1.0,1.0,0.5,0.1,10.4,3.1,0.5
Power Generation & Distribution,21.6,17.3,11.5,3.5,1.0,1.0,0.5,0.1,8.9,2.5,0.5
Power Generation & Utilities,23.7,19.2,13.0,4.0,1.0,1.0,0.5,0.1,10.0,2.9,0.5
Power Sector Financing NBFC,21.7,17.4,11.6,3.5,1.0,1.0,0.5,0.1,8.9,2.5,0.5
Project Management & Civil Construction,22.5,18.1,12.1,3.7,1.0,1.0,0.5,0.1,9.3,2.7,0.5
Pumps & Compressors,27.8,22.8,15.8,5.3,1.3,1.0,0.5,0.1,12.4,3.9,0.5
Railway Financing,22.2,17.9,12.0,3.6,1.0,1.0,0.5,0.1,9.2,2.6,0.5
Railway Infrastructure,22.4,18.1,12.1,3.7,1.0,1.0,0.5,0.1,9.3,2.7,0.5
Railway Infrastructure & Consulting,22.2,17.9,12.0,3.6,1.0,1.0,0.5,0.1,9.2,2.6,0.5
Railway Telecom,41.0,34.9,26.1,10.4,3.0,1.1,0.5,0.1,21.3,7.9,0.8
Railway Ticketing & Catering,21.9,17.6,11.7,3.5,1.0,1.0,0.5,0.1,9.0,2.6,0.5
Railway Wagons & Equipment,22.4,18.0,12.0,3.7,1.0,1.0,0.5,0.1,9.3,2.6,0.5
Railways,36.0,30.2,22.1,8.2,2.2,1.0,0.5,0.1,17.7,6.2,0.5
Realty,43.0,36.7,27.8,11.3,3.4,1.3,0.5,0.1,22.8,8.7,0.9
Renewable Energy,27.5,22.5,15.6,5.2,1.2,1.0,0.5,0.1,12.3,3.8,0.5
Renewable Energy - Solar & Wind,26.0,21.2,14.6,4.7,1.1,1.0,0.5,0.1,11.4,3.4,0.5
Renewable Energy Financing NBFC,22.3,17.9,12.0,3.6,1.0,1.0,0.5,0.1,9.2,2.6,0.5
Residential & Commercial Real Estate,31.1,25.7,18.2,6.4,1.6,1.0,0.5,0.1,14.5,4.7,0.5
Roads & Highways EPC,22.5,18.1,12.1,3.7,1.0,1.0,0.5,0.1,9.4,2.7,0.5
Rubber Chemicals,23.4,18.9,12.8,4.0,1.0,1.0,0.5,0.1,9.9,2.9,0.5
Saw Pipes & Ductile Iron Pipes,70.8,64.7,55.3,31.4,13.5,6.5,0.5,0.1,48.8,26.0,4.8
Semiconductors & Electronic Components,19.8,15.8,10.4,3.0,1.0,1.0,0.5,0.1,7.9,2.1,0.5
Services,34.9,29.2,21.2,7.8,2.1,1.0,0.5,0.1,17.0,5.9,0.5
Ship Building & Defence,38.8,32.8,24.3,9.4,2.7,1.0,0.5,0.1,19.7,7.1,0.6
