Bin,Mean_Predicted_Prob,Observed_Event_Rate,Sample_Count
0.0 - 0.2,0.12,0.11,18450
0.2 - 0.4,0.28,0.26,12450
0.4 - 0.6,0.49,0.46,5420
0.6 - 0.8,0.68,0.64,1850
0.8 - 1.0,0.86,0.82,420
