date,industry,early_radar_score,alert_tier,accumulation_pressure,cross_stock_synchronization,prob_5d,ind_fwd_5d,major_industry_move_5d
2024-12-10,Solar PV & Green Hydrogen,58.8,WATCH (Unusual Precursor),56.3,52.5,0.08035371145361259,2.21760270258155,0
2024-12-11,Solar PV & Green Hydrogen,60.5,WATCH (Unusual Precursor),63.3,52.5,0.08035371145361259,-0.8462885655416296,0
2024-12-12,Solar PV & Green Hydrogen,60.3,WATCH (Unusual Precursor),71.9,47.5,0.09901049827771567,-2.1466629203051575,0
2024-12-16,Solar PV & Green Hydrogen,55.1,WATCH (Unusual Precursor),65.2,65.8,0.10108267215265707,-3.620450103563792,0
2025-01-02,Solar PV & Green Hydrogen,63.0,WATCH (Unusual Precursor),65.6,47.5,0.07453615389831555,-3.3836622803286587,0
2025-01-03,Solar PV & Green Hydrogen,59.1,WATCH (Unusual Precursor),63.7,47.5,0.09161281326535815,-5.526800663783785,0
2025-02-25,Solar PV & Green Hydrogen,63.2,WATCH (Unusual Precursor),58.7,39.5,0.07193442322677503,-4.766335300196263,0
2025-03-19,Solar PV & Green Hydrogen,56.0,WATCH (Unusual Precursor),63.5,30.0,0.09445936067360874,0.05452865026680551,0
2025-03-21,Solar PV & Green Hydrogen,56.4,WATCH (Unusual Precursor),48.7,42.5,0.10458010663309636,-5.794795990997512,0
2025-03-24,Solar PV & Green Hydrogen,66.9,EARLY (Elevated Probability),60.0,52.5,0.1904422676955372,-3.870670461681128,0
2025-03-25,Solar PV & Green Hydrogen,57.4,WATCH (Unusual Precursor),50.9,45.0,0.23604168335598583,-0.22618893143851132,0
2025-04-22,Solar PV & Green Hydrogen,60.8,WATCH (Unusual Precursor),68.3,88.1,0.12640191829052466,1.3529231144147544,1
2025-04-23,Solar PV & Green Hydrogen,63.3,WATCH (Unusual Precursor),77.6,87.5,0.13921731748957053,-5.052346696546259,0
2025-04-24,Solar PV & Green Hydrogen,56.9,WATCH (Unusual Precursor),72.1,80.0,0.16736446009817282,-6.657503264107648,0
2025-05-14,Solar PV & Green Hydrogen,57.3,WATCH (Unusual Precursor),71.0,80.0,0.1185632604753572,5.461330056465455,0
2025-05-15,Solar PV & Green Hydrogen,55.5,WATCH (Unusual Precursor),60.5,77.5,0.11812455177239482,5.443839140792546,1
2025-05-16,Solar PV & Green Hydrogen,61.2,WATCH (Unusual Precursor),71.2,78.6,0.11886550041070054,2.474099310440817,0
2025-05-19,Solar PV & Green Hydrogen,58.2,WATCH (Unusual Precursor),69.7,83.3,0.13252902058410057,-0.08585111697161722,0
2025-05-22,Solar PV & Green Hydrogen,56.8,WATCH (Unusual Precursor),65.4,87.5,0.11511488286113775,1.7784560543686705,0
