Threshold,Mean_Predicted_Prob_pct,Realized_Base_Rate_pct,Brier_Score,ECE_Calibration_Error,Calibration_Quality
+5%,22.6,17.6,0.1784,0.1458,MARGINAL
+8%,14.5,9.1,0.1013,0.1038,ACCEPTABLE
+10%,10.5,6.1,0.0684,0.0658,ACCEPTABLE
+15%,4.4,2.2,0.0239,0.0219,EXCELLENT
+20%,2.0,1.0,0.0106,0.0093,EXCELLENT
