mkt_regime,Observations,Avg_Top_Decile_20D,Avg_Bottom_Decile_20D,Decile_Spread
Sideways / Choppy,110069,2.866837442818335,0.8325365810703135,2.034300861748022
Strong Bear (Liquidation),186537,1.6311752966357365,-1.5794197782813084,3.2105950749170447
Strong Bull (High Breadth),264593,1.8780190353707484,1.1588887670537609,0.7191302683169876
Transition / Mixed,104722,2.2074052881465294,2.8542868208304446,-0.6468815326839152
Weak Bull (Moderate Breadth),99360,0.5748374272389981,-0.18134283118635927,0.7561802584253574
