Regime,Precision@5,P5_Realization,Action
Bull Market,24.2%,64.5%,FULL CONVICTION
Sideways Market,17.5%,52.8%,SELECTIVE
Bear Market,11.2%,38.2%,REDUCE EXPOSURE
