date,industry,early_radar_score,v3_2_strength,prob_1d,prob_3d,prob_5d,alert_tier,ind_fwd_5d
2024-09-26,Wind Turbines & Wind Energy,31.4,59.5,0.1351124204057947,0.12090608321498236,0.11494986782941624,NONE (Neutral),-2.4550409472533468
2024-09-27,Wind Turbines & Wind Energy,53.4,58.8,0.16497650843927614,0.13011671296544278,0.11858397802704522,NONE (Neutral),-2.3314342218828705
2024-10-01,Wind Turbines & Wind Energy,54.9,66.1,0.18778774890035302,0.13232593529133502,0.12304885475613303,NONE (Neutral),-2.6477252713676087
2024-10-02,Wind Turbines & Wind Energy,57.9,64.3,0.1353725341901811,0.1107309881972367,0.11533926177258198,WATCH (Unusual Precursor),-1.5221912872671783
2024-10-03,Wind Turbines & Wind Energy,50.2,40.4,0.15728235423092513,0.13530954955597788,0.12522461552142058,NONE (Neutral),1.5483964030068642
2024-10-04,Wind Turbines & Wind Energy,41.6,38.0,0.1278452916440282,0.10655966896157557,0.10549898400021664,NONE (Neutral),2.4506772396030323
2024-10-07,Wind Turbines & Wind Energy,27.0,17.6,0.16120549312721344,0.13967684214239015,0.1317890820488782,NONE (Neutral),5.682829971864556
2024-10-08,Wind Turbines & Wind Energy,44.7,33.0,0.2016445863302723,0.2739533007530377,0.13844153068389106,NONE (Neutral),0.4151356071586254
2024-10-10,Wind Turbines & Wind Energy,30.7,39.3,0.13911013304187034,0.13636895439628657,0.12416431801920028,NONE (Neutral),-2.268573146728823
2024-10-14,Wind Turbines & Wind Energy,36.8,28.7,0.16715489576000295,0.11730481722803855,0.1328767612513413,NONE (Neutral),-3.2597779490829764
2024-11-01,Wind Turbines & Wind Energy,53.8,56.2,0.20912970834641997,0.14045208058876674,0.13939591361178402,NONE (Neutral),-3.5190431617883866
2024-11-05,Wind Turbines & Wind Energy,60.8,56.1,0.14263396905797981,0.10873816629948699,0.12487229611793156,WATCH (Unusual Precursor),-2.9904987227733644
2024-11-22,Wind Turbines & Wind Energy,34.3,51.3,0.12381930490469435,0.11044945033646066,0.12361978547434065,NONE (Neutral),2.020026998574773
2024-11-25,Wind Turbines & Wind Energy,14.4,43.1,0.17780766846235463,0.1484285682002801,0.1359065849814475,NONE (Neutral),4.876392893800984
2024-11-29,Wind Turbines & Wind Energy,9.3,32.4,0.1659921350356322,0.11629099799939534,0.12940106678364122,NONE (Neutral),10.106481647319479
2024-12-02,Wind Turbines & Wind Energy,33.9,50.9,0.2527937820445861,0.13449696033883304,0.18084783210676617,NONE (Neutral),5.650792539199931
2024-12-04,Wind Turbines & Wind Energy,48.1,83.2,0.18882460008288468,0.14766905990254076,0.1360715700350142,NONE (Neutral),-0.2885027754957893
2024-12-05,Wind Turbines & Wind Energy,46.2,74.8,0.14730007018034189,0.11405821051665128,0.11865875153961147,NONE (Neutral),-1.6957824774205954
2024-12-06,Wind Turbines & Wind Energy,52.6,85.9,0.17386163927999893,0.15223121906861267,0.14043920475986,NONE (Neutral),-5.4356302219757335
2024-12-11,Wind Turbines & Wind Energy,17.5,68.7,0.18422883036099622,0.10769377924750498,0.1255317017391183,NONE (Neutral),-2.713791886146253
2024-12-16,Wind Turbines & Wind Energy,35.4,61.4,0.16953469892529568,0.10973914724010009,0.11654792547699577,NONE (Neutral),-6.0728011485914495
2024-12-17,Wind Turbines & Wind Energy,20.4,65.5,0.30367575978909706,0.27323329305517874,0.19793694118306684,NONE (Neutral),-5.4798766092083095
2024-12-27,Wind Turbines & Wind Energy,19.0,31.3,0.12500562270875623,0.10716974547614545,0.10526409779794871,NONE (Neutral),3.1140178769858484
2024-12-30,Wind Turbines & Wind Energy,18.8,21.1,0.15025906353464588,0.115022336551936,0.11196134801001865,NONE (Neutral),0.05157123104254211
2024-12-31,Wind Turbines & Wind Energy,38.5,26.9,0.19218256179665505,0.11598222586426885,0.11586428717331296,NONE (Neutral),1.041502896309232
2025-01-02,Wind Turbines & Wind Energy,50.6,33.1,0.1679013230723239,0.12519072516816707,0.13322296979272052,NONE (Neutral),-6.679934748352951
