Lookback_Window,Date_Range,Rank_IC,IC_IR,Spread_20D,Stability
Full History (403 Sessions),2024-03-18 to 2026-08-21,0.114,1.42,+2.46%,ROBUST
Last 365 Sessions,2025-02-15 to 2026-08-21,0.1162,1.45,+2.52%,ROBUST
Last 250 Sessions (1 Year),2025-08-10 to 2026-08-21,0.1185,1.48,+2.58%,ROBUST
Last 150 Sessions,2026-01-05 to 2026-08-21,0.1124,1.39,+2.41%,ROBUST
Last 100 Sessions,2026-03-20 to 2026-08-21,0.1095,1.35,+2.35%,ROBUST
Last 60 Sessions,2026-05-25 to 2026-08-21,0.115,1.41,+2.48%,ROBUST
