Model_Variant,OOS_Rank_IC,IC_IR,20D_Decile_Spread,5D_Return,20D_Return,60D_Return,Hit_Rate,Sharpe_Ratio,Max_Drawdown,Net_CAGR_30bps,Opportunity_Coverage,Governance_Status
MODEL_V3.2_FROZEN (Baseline),0.114,1.42,+2.46%,+0.45%,+1.81%,+3.15%,56.4%,1.16,-14.2%,+25.6%,100.0%,ACTIVE_PRODUCTION_CHAMPION
MODEL_V3_2_CONDITIONAL_SHADOW (Filtered),0.1215,1.58,+2.85%,+0.52%,+2.11%,+3.73%,58.6%,1.34,-9.8%,+28.2%,68.4%,APPROVED_SHADOW_PRODUCTION
