Filter_Name,Coverage_Pct,Opportunity_Count,Rank_IC,Top_Decile_20D,Bottom_Decile_20D,Top_Bottom_Spread,Win_Rate,Sharpe_Ratio
C1: Baseline V3.2 (All Volatilities),100.0%,220418,-0.0149,+1.81%,-0.15%,+1.97%,49.0%,0.39
C2: Volatility Compressed (Ratio <= 1.0),54.8%,99127,0.0032,+1.72%,-0.25%,+1.98%,49.1%,0.37
C3: Normal Volatility (Ratio <= 1.5),98.7%,215886,-0.0129,+1.84%,-0.17%,+2.00%,49.1%,0.4
C4: Volatility Spiking (Ratio > 1.5),1.3%,4532,-0.1114,+0.65%,+1.02%,-0.37%,42.9%,0.12
