Strategy,Gross_CAGR,Net_CAGR_15bps,Net_CAGR_30bps,Net_CAGR_50bps,Sharpe_30bps,Max_Drawdown
Top 1 Industry Basket (5D Hold),+34.2%,+31.8%,+29.4%,+26.2%,1.42,-11.5%
Top 3 Industry Basket (5D Hold),+29.5%,+27.4%,+25.2%,+22.4%,1.35,-9.8%
Top 5 Industry Basket (5D Hold),+26.8%,+24.8%,+22.8%,+20.1%,1.28,-8.9%
