industry,constituent_count,reliability_tier,20D_exp_ret,P10,P25,P50,P75,P90,P95,Upside_Spread (P90-P50),Downside_Spread (P50-P10)
Financial Services,12,HIGH_RELIABILITY,-2.5,-12.1,-6.07,-0.03,2.97,5.97,8.82,6.0,12.07
Footwear,2,RESEARCH_ONLY,-2.46,-14.75,-8.23,-1.71,5.56,12.82,16.31,14.53,13.04
Gas Distribution,1,RESEARCH_ONLY,-3.72,-9.89,-5.96,-2.02,1.87,5.76,9.83,7.78,7.87
Gas Transmission & Distribution,4,RESEARCH_ONLY,-3.43,-10.54,-6.25,-1.96,1.7,5.37,7.55,7.33,8.58
Healthcare,14,HIGH_RELIABILITY,-1.58,-8.1,-3.81,0.47,4.45,8.43,11.21,7.96,8.57
Heavy Electrical Equipment,1,RESEARCH_ONLY,-0.06,-7.68,-2.64,2.39,9.17,15.95,51.3,13.56,10.07
Hospitals & Diagnostic Centres,32,VERY_HIGH_RELIABILITY,-1.68,-6.08,-2.96,0.17,2.96,5.74,7.88,5.57,6.25
Hospitals & Healthcare Services,1,RESEARCH_ONLY,-3.95,-10.12,-5.04,0.03,5.17,10.3,15.07,10.27,10.15
Hotels & Restaurants,23,VERY_HIGH_RELIABILITY,-2.79,-10.95,-6.39,-1.83,2.17,6.17,9.03,8.0,9.12
"Hotels, Resorts & QSR",17,VERY_HIGH_RELIABILITY,-1.51,-10.66,-5.85,-1.04,2.24,5.51,7.3,6.55,9.62
Housing & Urban Infrastructure Financing,1,RESEARCH_ONLY,-3.74,-11.66,-7.28,-2.9,3.77,10.43,13.75,13.33,8.76
IT Consulting & Software,28,VERY_HIGH_RELIABILITY,-2.86,-10.9,-6.57,-2.23,2.11,6.45,8.44,8.68,8.67
Information Technology,9,MODERATE_RELIABILITY,-1.53,-8.83,-4.19,0.46,5.55,10.65,16.6,10.19,9.29
Insurance,10,HIGH_RELIABILITY,-2.81,-9.5,-5.73,-1.96,1.69,5.34,7.34,7.3,7.54
Internet & Digital Platforms,11,HIGH_RELIABILITY,-1.93,-13.01,-6.56,-0.1,3.15,6.41,8.74,6.51,12.91
Iron & Steel,27,VERY_HIGH_RELIABILITY,-2.2,-7.43,-3.62,0.19,3.38,6.58,8.98,6.39,7.62
Logistics & Transportation,20,VERY_HIGH_RELIABILITY,-2.01,-9.64,-5.13,-0.62,3.74,8.09,10.98,8.71,9.02
"Logistics, Ports & Supply Chain",15,VERY_HIGH_RELIABILITY,-1.82,-8.42,-4.55,-0.69,2.77,6.22,8.05,6.91,7.73
Lubricants & Specialty Oils,5,MODERATE_RELIABILITY,-1.58,-7.25,-3.93,-0.61,3.79,8.18,12.05,8.79,6.64
