industry,macro_sector,constituent_count,breadth_status,reliability_tier,confidence_score,current_strength,leadership_state,leadership_acceleration,forward_opportunity_score,best_horizon,final_opportunity_class,5D_exp_ret,10D_exp_ret,20D_exp_ret,30D_exp_ret,5D_exp_excess,10D_exp_excess,20D_exp_excess,30D_exp_excess,20D_P10,20D_P25,20D_P50,20D_P75,20D_P90,20D_P95,20D_P_pos,20D_P_gt_5,20D_P_gt_8,20D_P_gt_10,20D_P_gt_15,upside_asymmetry_score,model_consensus_score,analog_quality_score,data_completeness,regime_compatibility
Explosives & Defence Chemicals,Other,2,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,30.0,36.9,NEUTRAL,50.0,44.2,30D,INSUFFICIENT_INDUSTRY_BREADTH,-0.33,-0.33,-0.16,0.03,-0.48,-0.68,-0.96,-1.17,-8.71,-3.52,1.66,8.15,14.63,17.2,48.5,24.9,12.4,8.2,2.8,66.7,86.4,79.2,100.0%,HIGH
Media Entertainment & Publication,Other,2,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,30.0,28.8,NEUTRAL,50.0,41.1,30D,INSUFFICIENT_INDUSTRY_BREADTH,-0.52,-0.59,-0.54,-0.44,-0.67,-0.94,-1.34,-1.64,-9.09,-4.39,0.32,5.64,10.97,13.72,45.0,22.3,11.2,7.4,2.6,59.5,86.4,79.2,100.0%,HIGH
Fertilizers,Other,2,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,30.0,0.9,NEUTRAL,50.0,27.2,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.12,-2.87,-3.75,-4.37,-2.27,-3.22,-4.55,-5.57,-10.32,-6.06,-1.79,3.29,8.38,12.13,20.2,8.9,4.8,3.4,1.4,59.7,86.4,79.2,100.0%,HIGH
Passenger Cars & Utility Vehicles,Other,2,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,30.0,-2.3,NEUTRAL,50.0,26.0,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.11,-2.84,-3.72,-4.33,-2.26,-3.19,-4.52,-5.53,-11.84,-7.14,-2.43,2.23,6.89,9.26,20.4,8.9,4.8,3.4,1.4,51.0,86.4,79.2,100.0%,HIGH
Paints & Coatings,Other,2,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,30.0,35.2,NEUTRAL,50.0,41.4,30D,INSUFFICIENT_INDUSTRY_BREADTH,-0.4,-0.43,-0.3,-0.15,-0.55,-0.78,-1.1,-1.35,-9.01,-4.55,-0.09,4.32,8.74,13.03,47.2,23.9,11.9,7.9,2.7,53.2,86.4,79.2,100.0%,HIGH
Railway Infrastructure,Other,2,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,30.0,0.4,NEUTRAL,50.0,28.9,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.09,-2.81,-3.67,-4.28,-2.24,-3.16,-4.47,-5.48,-13.1,-7.93,-2.75,4.29,11.33,17.09,20.7,9.1,4.9,3.4,1.4,70.1,86.4,79.2,100.0%,HIGH
Tractors & Farm Equipment,Other,2,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,30.0,24.5,NEUTRAL,50.0,39.4,30D,INSUFFICIENT_INDUSTRY_BREADTH,-1.18,-1.53,-1.86,-2.06,-1.33,-1.88,-2.66,-3.26,-9.95,-5.23,-0.51,8.31,17.12,457.68,33.4,15.2,7.8,5.3,1.9,93.3,86.4,79.2,100.0%,HIGH
Footwear,Other,2,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,30.0,10.5,NEUTRAL,50.0,31.4,30D,INSUFFICIENT_INDUSTRY_BREADTH,-1.48,-1.96,-2.46,-2.79,-1.63,-2.31,-3.26,-3.99,-14.75,-8.23,-1.71,5.56,12.82,16.31,28.7,12.8,6.6,4.6,1.7,59.4,86.4,79.2,100.0%,HIGH
Edible Oils,Other,2,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,30.0,3.2,NEUTRAL,50.0,26.5,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.04,-2.75,-3.58,-4.17,-2.19,-3.1,-4.38,-5.37,-9.39,-5.32,-1.25,3.04,7.32,10.29,21.2,9.3,5.0,3.5,1.4,53.6,86.4,79.2,100.0%,HIGH
Asset Management & Wealth,Other,2,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,30.0,42.3,NEUTRAL,50.0,51.5,30D,INSUFFICIENT_INDUSTRY_BREADTH,0.36,0.65,1.22,1.72,0.21,0.3,0.42,0.52,-5.25,-2.89,-0.54,2.37,5.28,6.82,61.1,42.1,21.5,13.9,3.8,62.0,86.4,79.2,100.0%,HIGH
