Regime,Sessions_Count,Observations,Mean_Rank_IC,Decile_Spread_pct,Top_Decile_Return_pct,Bottom_Decile_Return_pct,Robustness
SIDEWAYS,52,2535,0.0322,-2.58,-2.12,0.45,ROBUST
STRONG_BEAR,64,3072,0.0868,0.44,-2.04,-2.48,ROBUST
STRONG_BULL,161,7728,0.0191,0.49,0.02,-0.47,ROBUST
WEAK_BEAR,64,3084,-0.0318,-2.94,-3.09,-0.16,DEFENSIVE_SCALED
WEAK_BULL,42,2016,-0.0602,-0.49,-0.08,0.41,DEFENSIVE_SCALED
