Industry,Sector,Constituent_Count,Current_Strength_Score,Current_Strength_Rank,Leadership_State,Leadership_Acceleration_Score,Forward_Opportunity_Score,Best_Horizon,5D_Expected_Return (%),10D_Expected_Return (%),20D_Expected_Return (%),30D_Expected_Return (%),60D_Expected_Return (%),90D_Expected_Return (%),20D_P10 (%),20D_P50 (%),20D_P90 (%),Upside_Asymmetry_Score,Model_Consensus_Score,Model_Consensus_Label,Analog_Quality_Score,Reliability_Level,Model_Confidence (%),Final_Opportunity_Class,Final_Research_Rank
Tea & Coffee,Other,13,26.6,32,EMERGING LEADER,77.1,40.2,90D (Sparse),-0.68,-0.83,-0.86,-0.84,-0.38,0.27,-6.17,-0.86,4.45,51.6,91.6,HIGH MODEL CONSENSUS,67.4,VERY HIGH,87.5,NEUTRAL,22
Plastic Pipes & Fittings,Other,3,28.9,24,NEUTRAL,56.5,40.2,90D (Sparse),-0.52,-0.59,-0.54,-0.44,0.19,0.97,-5.85,-0.54,4.78,51.7,94.3,HIGH MODEL CONSENSUS,66.0,MODERATE,63.9,NEUTRAL,22
Internet & Digital Platforms,Other,11,29.3,23,EMERGING LEADER,60.7,39.8,90D (Sparse),-0.58,-0.69,-0.67,-0.6,-0.04,0.69,-5.98,-0.67,4.65,51.7,93.3,HIGH MODEL CONSENSUS,66.8,VERY HIGH,84.2,AVOID,24
Capital Markets & Asset Management,Other,11,26.2,33,EMERGING LEADER,65.6,39.6,90D (Sparse),-0.64,-0.77,-0.78,-0.73,-0.23,0.45,-6.09,-0.78,4.53,51.6,92.3,HIGH MODEL CONSENSUS,65.7,VERY HIGH,83.6,AVOID,25
Railway Telecom,Other,1,19.6,62,ACCELERATING,83.3,39.4,90D (Sparse),-0.8,-1.0,-1.11,-1.14,-0.8,-0.25,-6.42,-1.11,4.2,51.5,89.5,HIGH MODEL CONSENSUS,62.8,LOW (N<2),52.3,INSUFFICIENT DATA,26
Auto Glass,Other,1,38.9,14,DECELERATING,16.5,39.0,90D (Sparse),-0.29,-0.27,-0.08,0.13,0.98,1.94,-5.39,-0.08,5.23,52.0,97.1,HIGH MODEL CONSENSUS,68.9,LOW (N<2),55.8,INSUFFICIENT DATA,27
Paints & Coatings,Other,2,40.2,11,DECELERATING,30.3,39.0,90D (Sparse),-0.4,-0.43,-0.3,-0.15,0.59,1.46,-5.62,-0.3,5.01,51.9,96.0,HIGH MODEL CONSENSUS,68.2,MODERATE,60.7,NEUTRAL,27
"Hotels, Resorts & QSR",Other,17,31.0,20,EMERGING LEADER,63.8,38.7,90D (Sparse),-0.7,-0.85,-0.9,-0.88,-0.45,0.19,-6.21,-0.9,4.41,51.6,91.3,HIGH MODEL CONSENSUS,66.5,VERY HIGH,93.9,AVOID,29
Construction,Other,5,24.6,37,EMERGING LEADER,60.4,38.1,90D (Sparse),-0.72,-0.88,-0.95,-0.94,-0.52,0.1,-6.26,-0.95,4.37,51.5,90.9,HIGH MODEL CONSENSUS,64.4,HIGH,69.0,AVOID,30
Media Entertainment & Publication,Other,2,28.8,25,DECELERATING,29.4,37.5,90D (Sparse),-0.52,-0.59,-0.54,-0.44,0.19,0.97,-5.85,-0.54,4.78,51.7,94.3,HIGH MODEL CONSENSUS,64.1,MODERATE,59.4,AVOID,31
"Textiles, Yarns & Apparel",Other,15,23.3,42,ACCELERATING,70.5,37.4,90D (Sparse),-0.86,-1.07,-1.21,-1.27,-0.99,-0.47,-6.53,-1.21,4.1,51.4,88.5,HIGH MODEL CONSENSUS,66.6,VERY HIGH,89.9,AVOID,32
Packaging Materials & Containers,Other,8,25.9,34,NEUTRAL,47.7,37.1,90D (Sparse),-0.7,-0.85,-0.9,-0.88,-0.44,0.2,-6.21,-0.9,4.42,51.6,91.3,HIGH MODEL CONSENSUS,67.0,HIGH,77.3,AVOID,33
Pharmaceuticals,Other,39,27.6,29,NEUTRAL,54.0,37.0,90D (Sparse),-0.76,-0.93,-1.01,-1.02,-0.64,-0.04,-6.32,-1.01,4.3,51.5,90.3,HIGH MODEL CONSENSUS,67.8,VERY HIGH,98.0,AVOID,34
Commodity Chemicals,Other,43,26.8,31,NEUTRAL,50.7,36.3,90D (Sparse),-0.79,-0.98,-1.08,-1.1,-0.76,-0.19,-6.39,-1.08,4.23,51.5,89.7,HIGH MODEL CONSENSUS,67.9,VERY HIGH,98.0,AVOID,35
Asset Management Company (AMC),Other,3,18.1,74,ACCELERATING,77.3,36.2,90D (Sparse),-1.02,-1.3,-1.54,-1.66,-1.55,-1.16,-6.85,-1.54,3.78,51.3,85.7,HIGH MODEL CONSENSUS,65.1,MODERATE,61.1,AVOID,36
Capital Goods,Other,30,25.8,35,NEUTRAL,48.2,36.1,90D (Sparse),-0.78,-0.97,-1.07,-1.09,-0.74,-0.16,-6.38,-1.07,4.24,51.5,89.8,HIGH MODEL CONSENSUS,67.8,VERY HIGH,98.0,AVOID,37
Automobile OEMs,Other,16,27.0,30,NEUTRAL,53.5,35.9,90D (Sparse),-0.85,-1.06,-1.19,-1.24,-0.95,-0.43,-6.5,-1.19,4.12,51.4,88.7,HIGH MODEL CONSENSUS,66.6,VERY HIGH,91.6,AVOID,38
Consumer Durables,Other,22,25.1,36,NEUTRAL,52.6,35.7,90D (Sparse),-0.86,-1.07,-1.21,-1.26,-0.98,-0.47,-6.52,-1.21,4.1,51.4,88.6,HIGH MODEL CONSENSUS,67.1,VERY HIGH,98.0,AVOID,39
API & CDMO / CRAMS,Other,9,30.4,21,NEUTRAL,44.4,35.7,90D (Sparse),-0.79,-0.97,-1.07,-1.09,-0.74,-0.17,-6.38,-1.07,4.24,51.5,89.8,HIGH MODEL CONSENSUS,64.5,HIGH,78.6,AVOID,39
Lubricants & Specialty Oils,Other,5,31.2,19,DECELERATING,32.3,35.6,90D (Sparse),-0.69,-0.84,-0.89,-0.87,-0.43,0.22,-6.2,-0.89,4.42,51.6,91.4,HIGH MODEL CONSENSUS,63.6,HIGH,69.0,AVOID,41
IT Consulting & Software,Other,28,22.3,49,NEUTRAL,57.5,35.2,90D (Sparse),-0.94,-1.19,-1.37,-1.46,-1.26,-0.81,-6.68,-1.37,3.94,51.3,87.1,HIGH MODEL CONSENSUS,67.1,VERY HIGH,98.0,AVOID,42
Consumer Services,Other,21,24.1,39,ACCELERATING,59.0,35.1,90D (Sparse),-0.95,-1.21,-1.41,-1.51,-1.33,-0.89,-6.72,-1.41,3.9,51.3,86.8,HIGH MODEL CONSENSUS,66.3,VERY HIGH,98.0,AVOID,43
