Year,Trading_Sessions,Baseline_Top_Decile_20D,Filtered_Top_Decile_20D,Delta_Spread,Filtered_Superior
2020,232,+3.87%,+4.66%,+0.80%,YES
2021,248,+2.20%,+2.25%,+0.05%,YES
2022,248,-0.71%,-0.88%,-0.18%,NO
2023,246,+2.46%,+2.65%,+0.19%,YES
2024,260,+1.89%,+1.90%,+0.00%,YES
2025,160,+1.65%,+1.73%,+0.08%,YES
