Model,Rank_IC,IC_IR,MAE (%),Directional_Hit_Rate (%),Top_Bottom_Spread (%),Brier_Score,Status
Phase 12 Deterministic M (Production),0.1085,1.66,2.84,68.8,5.07,0.1308,CHAMPION_FROZEN
Dynamic Constituent Leadership,0.0982,1.48,3.02,65.4,4.45,0.145,BENCHMARK
Elastic Net (Alpha=0.01),0.0894,1.32,3.15,63.2,4.1,0.158,BENCHMARK
Ridge Regression (L2),0.0865,1.28,3.2,62.8,3.95,0.162,BENCHMARK
