Industry,5D_Expected_Excess (%),10D_Expected_Excess (%),20D_Expected_Excess (%),30D_Expected_Excess (%),60D_Expected_Excess (%),90D_Expected_Excess (%)
Packaging & Containers,-0.52,-0.73,-1.04,-1.27,-1.8,-2.2
Packaging Materials & Containers,-0.85,-1.2,-1.7,-2.08,-2.94,-3.6
Paints,-1.39,-1.96,-2.77,-3.4,-4.8,-5.88
Paints & Coatings,-0.55,-0.78,-1.1,-1.35,-1.91,-2.34
Paper & Paper Products,-1.7,-2.4,-3.4,-4.16,-5.89,-7.21
Passenger Cars & Utility Vehicles,-1.39,-1.97,-2.78,-3.41,-4.82,-5.91
Pharmaceuticals,-0.91,-1.28,-1.81,-2.22,-3.14,-3.84
Pharmaceuticals & Biotechnology,-1.45,-2.06,-2.91,-3.56,-5.04,-6.17
Pipes & Tubes,-0.73,-1.04,-1.47,-1.8,-2.54,-3.12
Plastic Pipes & Fittings,-0.67,-0.94,-1.34,-1.64,-2.31,-2.83
Plastic Pipes & Moulded Products,-2.02,-2.86,-4.04,-4.95,-7.0,-8.58
Plywood & Boards,-1.78,-2.52,-3.56,-4.36,-6.17,-7.56
"Plywood, MDF & Laminates",-1.29,-1.83,-2.58,-3.16,-4.47,-5.48
Power,-2.09,-2.95,-4.18,-5.11,-7.23,-8.86
Power Generation & Distribution,-2.31,-3.26,-4.61,-5.65,-7.99,-9.79
Power Generation & Utilities,-2.14,-3.02,-4.27,-5.23,-7.4,-9.07
Power Sector Financing NBFC,-2.3,-3.25,-4.59,-5.62,-7.95,-9.74
Project Management & Civil Construction,-2.23,-3.16,-4.47,-5.47,-7.74,-9.47
Pumps & Compressors,-1.83,-2.59,-3.66,-4.48,-6.33,-7.76
Railway Financing,-2.25,-3.19,-4.51,-5.52,-7.81,-9.56
Railway Infrastructure,-2.24,-3.16,-4.47,-5.48,-7.75,-9.49
Railway Infrastructure & Consulting,-2.25,-3.19,-4.51,-5.52,-7.81,-9.56
