Feature,Importance_Weight
industry_strength_score,0.28
breadth_50,0.22
strength_acceleration,0.18
industry_RS_market,0.14
volume_strength,0.08
ACCUMULATION_PRESSURE_SCORE,0.06
participation_score,0.04
