date,sessions_count,avg_strength
2024-10-28,73,23.443013698630136
2024-10-29,73,24.006027397260276
2024-10-30,73,27.395479452054794
2024-10-31,73,30.910547945205476
2024-11-01,73,32.953972602739725
2024-11-04,73,35.5545205479452
2024-11-05,73,34.86
2024-11-06,73,39.67452054794521
2024-11-07,73,38.840273972602745
2024-11-08,73,34.96123287671233
2024-11-11,73,32.3772602739726
2024-11-12,73,29.036849315068494
2024-11-13,73,23.582328767123286
2024-11-14,73,25.456438356164384
2024-11-18,73,25.163561643835617
2024-11-19,73,27.17931506849315
2024-11-20,73,30.48561643835616
2024-11-21,73,29.024246575342467
2024-11-22,73,30.983150684931505
2024-11-25,73,38.114657534246575
2024-11-26,73,36.98945205479452
2024-11-27,73,40.50739726027397
2024-11-28,73,39.263561643835615
2024-11-29,73,39.79561643835616
2024-12-02,73,42.622054794520544
2024-12-03,73,48.41876712328767
2024-12-04,73,49.03876712328767
2024-12-05,73,48.36041095890411
2024-12-06,73,51.042191780821916
2024-12-09,73,53.63835616438356
2024-12-10,73,56.400410958904104
2024-12-11,73,58.3327397260274
2024-12-12,73,58.35232876712329
2024-12-13,73,56.9517808219178
2024-12-16,73,59.24205479452055
2024-12-17,73,57.35534246575342
2024-12-18,73,53.087397260273974
2024-12-19,73,52.92945205479452
2024-12-20,73,45.47575342465753
2024-12-23,73,41.310273972602744
2024-12-24,73,40.804931506849314
2024-12-25,73,39.32410958904109
2024-12-26,73,39.571917808219176
2024-12-27,73,39.34178082191781
2024-12-30,73,37.139315068493154
2024-12-31,73,37.143287671232876
2025-01-01,73,41.41657534246575
2025-01-02,73,43.5554794520548
2025-01-03,73,42.806301369863014
2025-01-06,73,33.26109589041096
2025-01-07,73,36.475890410958904
2025-01-08,73,33.193698630136986
2025-01-09,73,30.489315068493156
2025-01-10,73,26.003835616438355
2025-01-13,73,20.19356164383562
2025-01-14,73,21.524246575342467
2025-01-15,73,22.49219178082192
2025-01-16,73,24.56082191780822
2025-01-17,73,26.354931506849315
2025-01-20,73,30.320136986301367
2025-01-21,73,25.82958904109589
2025-01-22,73,24.082328767123286
2025-01-23,73,24.9613698630137
2025-01-24,73,21.79328767123288
2025-01-27,73,18.976986301369863
2025-01-28,73,17.289452054794523
2025-01-29,73,18.242602739726028
2025-01-30,73,18.012054794520548
2025-01-31,73,19.45191780821918
2025-02-03,73,22.330410958904107
2025-02-04,73,22.447945205479453
2025-02-05,73,25.102602739726027
2025-02-06,73,26.371095890410956
2025-02-07,73,27.73191780821918
2025-02-10,73,27.414383561643834
2025-02-11,73,21.413013698630138
2025-02-12,73,22.354794520547948
2025-02-13,73,19.993972602739724
2025-02-14,73,16.91835616438356
2025-02-17,73,16.615205479452055
2025-02-18,73,15.963698630136985
2025-02-19,73,18.616575342465755
2025-02-20,73,19.369589041095892
2025-02-21,73,21.024931506849313
2025-02-24,73,20.885616438356166
2025-02-25,73,21.922602739726027
2025-02-27,73,18.23917808219178
2025-02-28,73,18.03821917808219
2025-03-03,73,16.43794520547945
2025-03-04,73,17.017397260273974
2025-03-05,73,18.88972602739726
2025-03-06,73,20.444657534246577
2025-03-07,73,20.66123287671233
2025-03-10,73,18.83821917808219
2025-03-11,73,20.276438356164384
2025-03-12,73,21.57904109589041
2025-03-13,73,21.46191780821918
2025-03-17,73,22.245753424657536
2025-03-18,73,28.523561643835613
2025-03-19,73,34.026575342465755
2025-03-20,73,37.865753424657534
2025-03-21,73,40.386712328767125
2025-03-24,73,41.35520547945205
2025-03-25,73,38.050684931506844
2025-03-26,73,35.613013698630134
2025-03-27,73,39.60506849315069
2025-03-28,73,38.87712328767124
2025-04-01,73,42.00178082191781
2025-04-02,73,46.272739726027396
2025-04-03,73,48.70356164383562
2025-04-04,73,38.50534246575342
2025-04-07,73,27.754794520547943
2025-04-08,73,31.04671232876712
2025-04-09,73,31.175753424657533
2025-04-11,73,39.193424657534244
2025-04-15,73,47.640273972602735
2025-04-16,73,52.370273972602746
2025-04-17,73,55.05821917808219
2025-04-21,73,57.41465753424658
2025-04-22,73,58.244246575342466
2025-04-23,73,58.99863013698629
2025-04-24,73,57.83794520547945
2025-04-25,73,49.31506849315068
2025-04-28,73,51.52630136986301
2025-04-29,73,53.24123287671233
2025-04-30,73,47.75534246575342
2025-05-02,73,47.88356164383562
2025-05-05,73,50.37
2025-05-06,74,40.23418918918919
2025-05-07,74,41.49756756756757
2025-05-08,74,41.675
2025-05-09,74,44.11040540540541
2025-05-12,74,59.37202702702702
2025-05-13,74,62.73932432432432
2025-05-14,74,63.929189189189195
2025-05-15,74,64.03905405405406
2025-05-16,74,65.13689189189189
2025-05-19,74,67.18270270270271
2025-05-20,74,62.48500000000001
2025-05-21,74,62.48418918918919
2025-05-22,74,61.504864864864864
2025-05-23,74,64.01594594594594
2025-05-26,74,66.74837837837838
2025-05-27,74,65.87256756756756
2025-05-28,74,65.55986486486486
2025-05-29,74,66.98945945945947
2025-05-30,74,66.90364864864864
2025-06-02,74,64.75013513513514
2025-06-03,74,65.44675675675676
2025-06-04,74,64.78513513513514
2025-06-05,74,67.21243243243244
2025-06-06,74,69.38432432432433
2025-06-09,74,68.69189189189188
2025-06-10,74,68.97189189189189
2025-06-11,74,68.55837837837838
2025-06-12,74,62.03337837837838
2025-06-13,74,57.41351351351352
2025-06-16,74,56.17432432432432
2025-06-17,74,54.60527027027027
2025-06-18,74,51.97364864864865
