Round_Trip_Cost_bps,Gross_CAGR,Annual_Cost_Drag,Net_CAGR,Net_Sharpe,Viable
0,+28.5%,-0.00%,+28.5%,1.3,YES
15,+28.5%,-1.89%,+26.6%,1.21,YES
30,+28.5%,-3.78%,+24.7%,1.12,YES
50,+28.5%,-6.30%,+22.2%,1.01,YES
75,+28.5%,-9.45%,+19.1%,0.87,YES
100,+28.5%,-12.60%,+15.9%,0.72,YES
