Percentile_Group,Sample_Count,5D_Mean_Return (%),20D_Mean_Return (%),20D_Excess_Return (%),20D_Hit_Rate (%),20D_Realized_P(>8%)
Top 1% (Rank 1),173,-0.99,-0.98,-0.55,39.9,8.7
Top 3% (Top 4),215,-0.78,-0.35,-0.45,43.3,9.8
Top 5% (Top 7),265,-0.59,0.34,-0.11,47.5,12.1
Top 10% (Top 14),374,-0.5,1.2,0.31,54.0,15.5
Top 20% (Top 27),571,-0.38,2.25,0.97,57.1,16.5
Middle Universe (40-60%),425,0.24,3.11,1.11,60.0,10.8
Bottom 20% (Bottom 27),291,0.07,1.96,-0.29,54.0,15.1
Bottom 10% (Bottom 14),159,0.43,2.5,0.34,57.2,18.2
