Industry,Market_Regime,Risk_State,Regime_Conditional_20D_Return
Plastic Pipes & Fittings,SIDEWAYS_ROTATION,ROTATION,-0.74
Plastic Pipes & Moulded Products,SIDEWAYS_ROTATION,ROTATION,-3.44
Plywood & Boards,SIDEWAYS_ROTATION,ROTATION,-2.96
"Plywood, MDF & Laminates",SIDEWAYS_ROTATION,ROTATION,-1.98
Power,SIDEWAYS_ROTATION,ROTATION,-3.58
Power Generation & Distribution,SIDEWAYS_ROTATION,ROTATION,-4.01
Power Generation & Utilities,SIDEWAYS_ROTATION,ROTATION,-3.67
Power Sector Financing NBFC,SIDEWAYS_ROTATION,ROTATION,-3.99
Project Management & Civil Construction,SIDEWAYS_ROTATION,ROTATION,-3.87
Pumps & Compressors,SIDEWAYS_ROTATION,ROTATION,-3.06
Railway Financing,SIDEWAYS_ROTATION,ROTATION,-3.91
Railway Infrastructure,SIDEWAYS_ROTATION,ROTATION,-3.87
Railway Infrastructure & Consulting,SIDEWAYS_ROTATION,ROTATION,-3.91
Railway Telecom,SIDEWAYS_ROTATION,ROTATION,-1.31
Railway Ticketing & Catering,SIDEWAYS_ROTATION,ROTATION,-3.96
Railway Wagons & Equipment,SIDEWAYS_ROTATION,ROTATION,-3.89
Railways,SIDEWAYS_ROTATION,ROTATION,-1.94
Realty,SIDEWAYS_ROTATION,ROTATION,-1.06
Renewable Energy,SIDEWAYS_ROTATION,ROTATION,-3.1
Renewable Energy - Solar & Wind,SIDEWAYS_ROTATION,ROTATION,-3.31
Renewable Energy Financing NBFC,SIDEWAYS_ROTATION,ROTATION,-3.9
Residential & Commercial Real Estate,SIDEWAYS_ROTATION,ROTATION,-2.59
Roads & Highways EPC,SIDEWAYS_ROTATION,ROTATION,-3.87
Rubber Chemicals,SIDEWAYS_ROTATION,ROTATION,-3.72
Saw Pipes & Ductile Iron Pipes,SIDEWAYS_ROTATION,ROTATION,2.45
Semiconductors & Electronic Components,SIDEWAYS_ROTATION,ROTATION,-4.32
Services,SIDEWAYS_ROTATION,ROTATION,-2.08
Ship Building & Defence,SIDEWAYS_ROTATION,ROTATION,-1.58
Software Products & Digital Services,SIDEWAYS_ROTATION,ROTATION,-2.22
Specialty Chemicals,SIDEWAYS_ROTATION,ROTATION,-2.03
Steel Manufacturing & Mining,SIDEWAYS_ROTATION,ROTATION,-0.26
Stockbroking & Financial Products,SIDEWAYS_ROTATION,ROTATION,-1.82
Structural Steel Tubes & Pipes,SIDEWAYS_ROTATION,ROTATION,-0.28
Sugar & Bio-Ethanol,SIDEWAYS_ROTATION,ROTATION,-1.3
Superalloys & Special Metals,SIDEWAYS_ROTATION,ROTATION,-0.32
Tea & Coffee,SIDEWAYS_ROTATION,ROTATION,-1.06
Telecom Services & Infrastructure,SIDEWAYS_ROTATION,ROTATION,-3.14
Telecommunication,SIDEWAYS_ROTATION,ROTATION,-2.73
Textiles,SIDEWAYS_ROTATION,ROTATION,-0.17
Textiles & Apparel,SIDEWAYS_ROTATION,ROTATION,-2.35
"Textiles, Yarns & Apparel",SIDEWAYS_ROTATION,ROTATION,-1.41
Tractors & Farm Equipment,SIDEWAYS_ROTATION,ROTATION,-2.06
Transformers & T&D Equipment,SIDEWAYS_ROTATION,ROTATION,-1.8
Travel Tech SaaS Solutions,SIDEWAYS_ROTATION,ROTATION,2.28
Tyres & Rubber Products,SIDEWAYS_ROTATION,ROTATION,-2.82
Utilities,SIDEWAYS_ROTATION,ROTATION,-3.9
Water & Wastewater Treatment,SIDEWAYS_ROTATION,ROTATION,-3.56
Wealth & Asset Management,SIDEWAYS_ROTATION,ROTATION,-0.33
Wires & Cables,SIDEWAYS_ROTATION,ROTATION,-1.8
Zinc & Silver Mining,SIDEWAYS_ROTATION,ROTATION,2.32
