Architecture,Mean_OOS_Rank_IC,Mean_IC_IR,Mean_t_stat
Huber_M_Estimator,0.0185,0.458,3.084
Linear_Ensemble,-0.0008600000000000011,0.01200000000000001,-0.33800000000000024
Hybrid_Tree_Linear,-0.003920000000000002,0.14799999999999996,0.6759999999999998
Ridge_L2,-0.012379999999999999,-0.476,-3.9939999999999998
Random_Forest,-0.014300000000000002,-0.242,-2.1
Gradient_Boosting,-0.016,-0.196,-1.7439999999999998
LASSO_L1,-0.0251,-0.44800000000000006,-3.8120000000000003
ElasticNet,-0.02546,-0.41200000000000003,-3.5620000000000003
