Industry,Sector,Constituent_Count,Current_Strength_Score,Current_Strength_Rank
Railway Ticketing & Catering,Other,1,0.5,120
Utilities,Other,1,-0.6,128
Project Management & Civil Construction,Other,1,-1.2,132
Renewable Energy Financing NBFC,Other,1,-0.9,129
Housing & Urban Infrastructure Financing,Other,1,-0.4,126
Power Generation & Distribution,Other,1,0.5,121
Power Sector Financing NBFC,Other,1,-1.5,133
Hospitals & Healthcare Services,Other,1,0.1,125
Auto Lighting,Other,1,-1.2,131
Civil Buildings & Commercial EPC,Other,1,-3.8,135
