Year,Sessions,Precision@1,Precision@3,Precision@5,Precision@10,Top5_Avg_5D_Return,Market_Avg_5D_Return,Excess_Alpha
2020,129,0.0%,0.0%,0.0%,0.0%,+0.00%,+0.00%,+0.00%
2021,248,0.0%,0.0%,0.0%,0.0%,+0.00%,+0.00%,+0.00%
2022,248,0.0%,0.0%,0.0%,0.0%,+0.00%,+0.00%,+0.00%
2023,246,0.0%,0.0%,0.0%,0.0%,+0.00%,+0.00%,+0.00%
2024,255,12.6%,12.5%,12.8%,13.3%,+0.66%,+0.73%,-0.06%
2025,160,16.9%,16.9%,15.4%,13.9%,-0.04%,-0.12%,+0.08%
2026,32,9.4%,12.5%,13.1%,14.4%,+0.03%,+0.17%,-0.14%
