Industry,5D_P_Pos,5D_P_Beat_Smallcap,5D_P_Gt_1pct,5D_P_Gt_2pct,5D_P_Lt_Minus1pct,5D_P_Lt_Minus3pct,10D_P_Pos,10D_P_Beat_Smallcap,20D_P_Pos,20D_P_Beat_Smallcap
Insurance,24.7,23.1,12.5,5.3,58.7,23.9,25.8,22.7,27.9,23.1
Internet & Digital Platforms,36.2,33.9,20.6,9.9,45.6,14.9,37.3,33.5,39.0,33.4
Iron & Steel,19.9,18.5,9.5,3.8,64.9,29.2,20.9,18.3,23.0,18.8
Logistics & Transportation,25.9,24.2,13.3,5.7,57.2,22.7,27.0,23.8,29.1,24.2
"Logistics, Ports & Supply Chain",30.4,28.5,16.4,7.4,51.9,18.9,31.5,28.1,33.5,28.2
Lubricants & Specialty Oils,34.9,32.7,19.7,9.4,46.9,15.7,36.0,32.3,37.8,32.3
Media & Entertainment,23.3,21.8,11.6,4.9,60.4,25.2,24.4,21.4,26.5,21.9
Media Entertainment & Publication,36.1,33.8,20.6,9.9,45.7,15.0,37.2,33.4,38.9,33.3
Metals & Mining,18.1,16.9,8.4,3.3,67.2,31.4,19.1,16.7,21.2,17.3
Microfinance NBFC,14.0,13.0,6.1,2.2,73.1,37.7,14.9,12.8,16.9,13.5
Mining & Mineral Products,24.1,22.5,12.1,5.1,59.4,24.4,25.2,22.2,27.3,22.6
Non Banking Financial Company (NBFC),25.7,24.0,13.2,5.7,57.4,22.9,26.8,23.7,28.9,24.1
Oil Exploration & Refining,22.4,20.9,11.0,4.6,61.6,26.3,23.4,20.6,25.5,21.1
Oil Gas & Consumable Fuels,42.8,40.3,25.9,13.3,38.8,11.2,44.0,39.9,45.4,39.5
Packaged Foods & Consumer Staples,28.3,26.4,14.9,6.6,54.4,20.6,29.4,26.1,31.4,26.3
Packaged Foods & FMCG Staples,20.1,18.8,9.6,3.9,64.5,28.9,21.1,18.5,23.2,19.0
Packaging & Containers,41.1,38.7,24.5,12.4,40.5,12.1,42.2,38.2,43.8,37.9
Packaging Materials & Containers,35.0,32.8,19.8,9.4,46.8,15.6,36.2,32.4,37.9,32.4
Paints,25.3,23.6,12.9,5.5,57.9,23.2,26.4,23.3,28.5,23.7
Paints & Coatings,40.4,38.0,23.9,12.0,41.2,12.5,41.5,37.5,43.1,37.2
Paper & Paper Products,20.9,19.5,10.1,4.1,63.5,27.9,21.9,19.2,24.1,19.8
Passenger Cars & Utility Vehicles,25.2,23.5,12.9,5.5,58.0,23.3,26.3,23.2,28.4,23.6
Pharmaceuticals,33.5,31.4,18.7,8.8,48.4,16.6,34.7,31.0,36.5,31.1
Pharmaceuticals & Biotechnology,24.3,22.7,12.2,5.2,59.2,24.3,25.3,22.3,27.4,22.8
Pipes & Tubes,35.1,32.9,19.8,9.5,46.7,15.6,36.2,32.5,38.0,32.4
Plastic Pipes & Fittings,36.7,34.4,21.0,10.2,45.1,14.6,37.8,34.0,39.5,33.9
Plastic Pipes & Moulded Products,17.7,16.5,8.2,3.2,67.7,31.9,18.7,16.3,20.8,16.9
Plywood & Boards,22.9,21.4,11.4,4.7,60.9,25.6,24.0,21.1,26.1,21.6
"Plywood, MDF & Laminates",26.4,24.6,13.6,5.9,56.6,22.3,27.5,24.3,29.5,24.6
Power,14.8,13.8,6.6,2.4,71.9,36.3,15.7,13.6,17.8,14.3
Power Generation & Distribution,12.8,11.9,5.5,1.9,74.9,39.7,13.6,11.8,15.6,12.5
Power Generation & Utilities,14.5,13.5,6.4,2.3,72.3,36.7,15.4,13.3,17.5,14.0
Power Sector Financing NBFC,12.9,12.1,5.5,2.0,74.7,39.5,13.8,11.9,15.8,12.6
Project Management & Civil Construction,13.7,12.8,6.0,2.2,73.5,38.1,14.6,12.6,16.6,13.3
Pumps & Compressors,18.3,17.0,8.5,3.3,67.0,31.2,19.3,16.8,21.4,17.4
Railway Financing,13.5,12.5,5.8,2.1,73.9,38.6,14.3,12.4,16.3,13.1
Railway Infrastructure,13.7,12.7,5.9,2.1,73.6,38.2,14.5,12.5,16.6,13.2
Railway Infrastructure & Consulting,13.5,12.5,5.8,2.1,73.9,38.6,14.3,12.4,16.3,13.1
Railway Telecom,28.5,26.7,15.1,6.7,54.1,20.4,29.7,26.3,31.7,26.6
Railway Ticketing & Catering,13.1,12.2,5.6,2.0,74.4,39.2,14.0,12.1,16.0,12.8
Railway Wagons & Equipment,13.6,12.7,5.9,2.1,73.7,38.4,14.4,12.5,16.5,13.2
Railways,25.9,24.2,13.3,5.7,57.2,22.7,27.0,23.8,29.0,24.2
Realty,32.1,30.1,17.6,8.1,50.0,17.6,33.2,29.7,35.1,29.8
Renewable Energy,18.1,16.9,8.4,3.3,67.3,31.5,19.1,16.6,21.2,17.2
Renewable Energy - Solar & Wind,16.7,15.6,7.6,2.9,69.2,33.4,17.6,15.3,19.7,16.0
Renewable Energy Financing NBFC,13.5,12.6,5.9,2.1,73.8,38.5,14.4,12.4,16.4,13.1
Residential & Commercial Real Estate,22.1,20.6,10.8,4.5,62.0,26.6,23.1,20.3,25.2,20.8
Roads & Highways EPC,13.7,12.8,6.0,2.2,73.5,38.1,14.6,12.6,16.6,13.3
Rubber Chemicals,14.7,13.7,6.5,2.4,72.1,36.5,15.6,13.5,17.6,14.2
Saw Pipes & Ductile Iron Pipes,65.4,62.5,47.2,29.6,19.5,3.7,66.2,61.9,66.4,60.5
Semiconductors & Electronic Components,15.4,14.4,6.9,2.6,71.0,35.3,16.3,14.2,18.4,14.8
Services,26.2,24.5,13.5,5.8,56.9,22.4,27.3,24.1,29.3,24.5
Ship Building & Defence,30.4,28.4,16.4,7.4,52.0,18.9,31.5,28.0,33.4,28.2
Software Products & Digital Services,25.0,23.4,12.7,5.4,58.3,23.5,26.1,23.0,28.2,23.4
Specialty Chemicals,26.4,24.7,13.7,5.9,56.6,22.2,27.5,24.3,29.6,24.7
Steel Manufacturing & Mining,43.1,40.6,26.2,13.5,38.5,11.1,44.3,40.1,45.7,39.7
Stockbroking & Financial Products,27.9,26.1,14.7,6.5,54.7,20.9,29.1,25.8,31.1,26.1
Structural Steel Tubes & Pipes,42.8,40.3,25.9,13.3,38.8,11.2,44.0,39.9,45.4,39.5
Sugar & Bio-Ethanol,35.6,33.4,20.2,9.7,46.2,15.2,36.8,33.0,38.5,32.9
Superalloys & Special Metals,42.4,39.9,25.6,13.1,39.2,11.4,43.6,39.5,45.0,39.1
Tea & Coffee,34.2,32.0,19.1,9.0,47.7,16.2,35.3,31.6,37.1,31.6
Telecom Services & Infrastructure,18.5,17.2,8.6,3.4,66.8,31.0,19.4,16.9,21.6,17.6
Telecommunication,21.0,19.6,10.2,4.1,63.4,27.8,22.0,19.3,24.2,19.8
Textiles,44.2,41.6,27.0,14.1,37.5,10.6,45.3,41.1,46.6,40.7
Textiles & Apparel,23.8,22.2,11.9,5.0,59.8,24.7,24.9,21.9,27.0,22.4
"Textiles, Yarns & Apparel",30.9,28.9,16.7,7.6,51.4,18.5,32.0,28.5,34.0,28.7
Tractors & Farm Equipment,26.4,24.6,13.6,5.9,56.6,22.3,27.5,24.3,29.5,24.6
Transformers & T&D Equipment,27.2,25.4,14.2,6.2,55.7,21.5,28.3,25.1,30.3,25.4
Travel Tech SaaS Solutions,63.6,60.7,45.4,28.0,20.8,4.1,64.5,60.2,64.8,58.8
Tyres & Rubber Products,20.0,18.6,9.5,3.8,64.7,29.0,21.0,18.3,23.1,18.9
Utilities,13.5,12.6,5.9,2.1,73.8,38.5,14.4,12.4,16.4,13.1
Water & Wastewater Treatment,16.2,15.1,7.3,2.8,69.9,34.1,17.1,14.9,19.2,15.5
Wealth & Asset Management,42.4,39.9,25.5,13.1,39.3,11.5,43.5,39.4,45.0,39.0
Wires & Cables,28.3,26.4,14.9,6.6,54.4,20.6,29.4,26.1,31.4,26.3
Zinc & Silver Mining,64.0,61.1,45.7,28.4,20.5,4.0,64.8,60.5,65.1,59.1
