Model,Block_Size,Resamples,Rank_IC_Mean,Rank_IC_95_CI,Q1_Q5_Spread_Mean (%),Q1_Q5_Spread_95_CI,Mean_Return_Mean (%),Mean_Return_95_CI,Sharpe_Mean,Sharpe_95_CI,Hit_Rate_Mean (%),Hit_Rate_95_CI
M24_IC_WeightedEnsemble,5-Session Blocks,5000,0.1092,"[0.075, 0.144]",1.3,"[0.93, 1.68]",0.94,"[0.59, 1.33]",7.05,"[4.5, 10.43]",85.5,"[66.7, 100.0]"
M24_IC_WeightedEnsemble,10-Session Blocks,5000,0.1061,"[0.068, 0.135]",1.17,"[0.85, 1.39]",0.73,"[0.63, 0.82]",5.58,"[4.59, 6.31]",77.8,"[75.0, 83.3]"
