date,industry,early_radar_score,alert_level,prob_1d,prob_3d,prob_5d,expected_lead_days,accumulation_pressure,cross_stock_synchronization,feature_explanation
2025-08-22,3PL Logistics & Fleet Haulage,61.0,WATCH,0.142,0.294,0.538,3.3,52.5,47.7,Neutral Precursor Structure
2025-08-22,API & Bulk Drugs,62.7,WATCH,0.145,0.301,0.55,3.2,52.7,60.4,Neutral Precursor Structure
2025-08-22,Aerospace & Fighter Aircraft,74.4,EARLY,0.169,0.348,0.638,3.0,81.9,33.3,Strong Accumulation Pressure
2025-08-22,Architectural Glass & Windows,71.4,EARLY,0.163,0.336,0.615,3.1,75.1,83.3,Strong Accumulation Pressure | High Cross-Stock Synchronization | Broad Breadth Expansion
2025-08-22,Auto Castings & Heavy Forgings,79.4,PRE-BREAKOUT,0.179,0.368,0.676,2.9,77.3,60.7,Strong Accumulation Pressure
2025-08-22,Auto Lighting & Electricals,67.1,EARLY,0.154,0.318,0.583,3.2,54.8,86.7,High Cross-Stock Synchronization | Broad Breadth Expansion
2025-08-22,Auto Transmission & Driveline,61.4,WATCH,0.143,0.296,0.54,3.3,46.4,75.0,High Cross-Stock Synchronization
2025-08-22,Automotive Radial Tyres,66.2,EARLY,0.152,0.315,0.576,3.2,57.2,62.5,Neutral Precursor Structure
2025-08-22,Ayurvedic & Herbal Care,52.1,NONE,0.124,0.258,0.471,3.5,44.8,60.0,Broad Breadth Expansion
2025-08-22,Basmati Rice Milling & Global Exports,23.7,NONE,0.067,0.145,0.258,4.0,19.0,28.6,Neutral Precursor Structure
2025-08-22,Biopharma & Biosimilars,38.1,NONE,0.096,0.202,0.366,3.7,33.7,31.2,Neutral Precursor Structure
2025-08-22,Building Materials,47.7,NONE,0.115,0.241,0.438,3.5,42.1,37.5,Neutral Precursor Structure
2025-08-22,Business Process Management (BPM),46.8,NONE,0.114,0.237,0.431,3.6,55.1,57.1,Broad Breadth Expansion
2025-08-22,CDMO & Sterile Injectables,67.1,EARLY,0.154,0.318,0.583,3.2,66.4,40.0,Neutral Precursor Structure
2025-08-22,Ceramic Tiles & Sanitaryware,44.3,NONE,0.109,0.227,0.412,3.6,39.4,39.3,Neutral Precursor Structure
2025-08-22,Civil & Commercial Construction,70.5,EARLY,0.161,0.332,0.609,3.1,64.9,56.1,Neutral Precursor Structure
2025-08-22,Commercial & Industrial Electronics EMS,82.3,PRE-BREAKOUT,0.185,0.379,0.697,2.9,81.4,62.5,Strong Accumulation Pressure
2025-08-22,Commercial Ports & Terminals,75.8,PRE-BREAKOUT,0.172,0.353,0.648,3.0,73.4,63.2,Strong Accumulation Pressure
2025-08-22,Commodity & Wholesale Trading,70.7,EARLY,0.161,0.333,0.61,3.1,75.9,66.7,Strong Accumulation Pressure | High Cross-Stock Synchronization
2025-08-22,Consumer Internet Platforms & Apps,35.0,NONE,0.09,0.19,0.342,3.8,28.3,40.0,Neutral Precursor Structure
2025-08-22,Conventional Thermal & Fossil Power,51.2,NONE,0.122,0.255,0.464,3.5,44.6,53.2,Neutral Precursor Structure
2025-08-22,Corporate & Wholesale Finance,18.2,NONE,0.056,0.123,0.216,4.1,12.6,33.3,Neutral Precursor Structure
2025-08-22,Cotton Spinning & Yarns,54.8,NONE,0.13,0.269,0.491,3.4,43.1,45.3,Neutral Precursor Structure
2025-08-22,Crop Protection Agrochemicals,54.8,NONE,0.13,0.269,0.491,3.4,51.3,42.9,Neutral Precursor Structure
2025-08-22,Crop Protection Formulations,49.0,NONE,0.118,0.246,0.448,3.5,41.3,57.1,Neutral Precursor Structure
2025-08-22,Decorative Paints,37.6,NONE,0.095,0.2,0.362,3.7,33.2,42.9,Neutral Precursor Structure
2025-08-22,Defence Electronics & Radars,60.7,WATCH,0.141,0.293,0.535,3.3,59.9,55.0,Neutral Precursor Structure
2025-08-22,Diagnostic & Pathology Labs,40.7,NONE,0.101,0.213,0.385,3.7,37.2,40.0,Neutral Precursor Structure
2025-08-22,Diversified Consumer & MSME NBFC,52.9,NONE,0.126,0.262,0.477,3.4,44.0,50.9,Neutral Precursor Structure
2025-08-22,Edible Oils & Vanaspati,47.1,NONE,0.114,0.238,0.433,3.6,39.0,42.9,Neutral Precursor Structure
2025-08-22,Education Academies & Publishing,53.8,NONE,0.128,0.265,0.484,3.4,54.5,54.2,Neutral Precursor Structure
2025-08-22,Electric Vehicles (EV),59.4,WATCH,0.139,0.288,0.526,3.3,50.3,58.3,Neutral Precursor Structure
2025-08-22,Engineering R&D (ER&D),74.0,EARLY,0.168,0.346,0.635,3.0,69.6,64.3,Neutral Precursor Structure
2025-08-22,Enterprise Software & SaaS,56.2,WATCH,0.132,0.275,0.501,3.4,45.0,46.0,Neutral Precursor Structure
2025-08-22,Express Parcel & Courier,46.0,NONE,0.112,0.234,0.425,3.6,33.6,50.0,Neutral Precursor Structure
2025-08-22,Fashion Apparel Retail,44.5,NONE,0.109,0.228,0.414,3.6,35.6,50.0,Neutral Precursor Structure
2025-08-22,Fast Moving Electrical Goods (FMEG),61.5,WATCH,0.143,0.296,0.541,3.3,52.7,58.3,Neutral Precursor Structure
2025-08-22,Ferro Alloys & Secondary Metals,58.9,WATCH,0.138,0.286,0.522,3.3,53.7,50.0,Neutral Precursor Structure
2025-08-22,Fertilizers & Soil Nutrients,77.2,PRE-BREAKOUT,0.174,0.359,0.659,3.0,73.9,73.8,Strong Accumulation Pressure | High Cross-Stock Synchronization
2025-08-22,Film Theatres & Broadcast Media,34.2,NONE,0.088,0.187,0.336,3.8,27.3,41.7,Neutral Precursor Structure
2025-08-22,Finished Formulations,53.7,NONE,0.127,0.265,0.483,3.4,46.0,52.5,Neutral Precursor Structure
2025-08-22,Flexible Packaging Films,42.0,NONE,0.104,0.218,0.395,3.7,33.1,46.4,Neutral Precursor Structure
2025-08-22,Fluorochemicals,57.9,WATCH,0.136,0.282,0.514,3.3,54.5,70.0,High Cross-Stock Synchronization
