date,industry,early_radar_score,alert_level,prob_1d,prob_3d,prob_5d,expected_lead_days,accumulation_pressure,cross_stock_synchronization,feature_explanation
2026-08-24,3PL Logistics & Fleet Haulage,64.7,WATCH,0.149,0.309,0.565,3.2,66.8,52.1,Volatility Compression
2026-08-24,API & Bulk Drugs,62.9,WATCH,0.146,0.302,0.552,3.2,70.0,46.9,Strong Accumulation Pressure | Volatility Compression
2026-08-24,Advertising & Digital Marketing,42.6,NONE,0.105,0.22,0.4,3.6,45.3,16.7,Volatility Compression
2026-08-24,Aerospace & Fighter Aircraft,47.5,NONE,0.115,0.24,0.436,3.6,55.6,55.0,Broad Breadth Expansion
2026-08-24,Air Conditioners & Commercial HVAC,28.9,NONE,0.078,0.166,0.297,3.9,34.8,0.0,Neutral Precursor Structure
2026-08-24,Architectural Glass & Windows,48.7,NONE,0.117,0.245,0.445,3.5,49.8,64.3,Volatility Compression
2026-08-24,Auto Castings & Heavy Forgings,47.7,NONE,0.115,0.241,0.438,3.5,60.4,60.5,Volatility Compression
2026-08-24,Auto Lighting & Electricals,37.6,NONE,0.095,0.2,0.362,3.7,40.7,50.0,Volatility Compression
2026-08-24,Auto Transmission & Driveline,80.4,PRE-BREAKOUT,0.181,0.372,0.683,2.9,87.3,41.7,Strong Accumulation Pressure | Volatility Compression
2026-08-24,Automotive Radial Tyres,72.0,EARLY,0.164,0.338,0.62,3.1,71.9,62.5,Strong Accumulation Pressure | Volatility Compression | Broad Breadth Expansion
2026-08-24,Ayurvedic & Herbal Care,26.7,NONE,0.073,0.157,0.28,4.0,22.8,33.3,Neutral Precursor Structure
2026-08-24,Basmati Rice Milling & Global Exports,81.6,PRE-BREAKOUT,0.183,0.376,0.692,2.9,88.5,57.1,Strong Accumulation Pressure
2026-08-24,Biopharma & Biosimilars,70.0,EARLY,0.16,0.33,0.605,3.1,75.6,50.0,Strong Accumulation Pressure | Volatility Compression
2026-08-24,Bridal Gold Jewellery & Retail Showrooms,63.2,WATCH,0.146,0.303,0.554,3.2,73.1,100.0,Strong Accumulation Pressure | High Cross-Stock Synchronization | Volatility Compression | Broad Breadth Expansion
2026-08-24,Building Materials,24.8,NONE,0.07,0.149,0.266,4.0,31.3,40.0,Neutral Precursor Structure
2026-08-24,Business Process Management (BPM),67.9,EARLY,0.156,0.322,0.589,3.1,88.3,43.8,Strong Accumulation Pressure | Volatility Compression
2026-08-24,CDMO & Sterile Injectables,29.5,NONE,0.079,0.168,0.301,3.9,30.8,41.7,Neutral Precursor Structure
2026-08-24,Ceramic Tiles & Sanitaryware,50.3,NONE,0.121,0.251,0.457,3.5,48.8,31.2,Volatility Compression
2026-08-24,Civil & Commercial Construction,53.7,NONE,0.127,0.265,0.483,3.4,55.9,32.1,Volatility Compression
2026-08-24,Commercial & Industrial Electronics EMS,47.2,NONE,0.114,0.239,0.434,3.6,52.6,63.6,Volatility Compression | Broad Breadth Expansion
