date,industry,early_radar_score,alert_level,prob_1d,prob_3d,prob_5d,expected_lead_days,accumulation_pressure,cross_stock_synchronization,feature_explanation
2025-07-24,3PL Logistics & Fleet Haulage,,NONE,,,,,,18.2,Neutral Precursor Structure
2025-07-24,API & Bulk Drugs,,NONE,,,,,,18.0,Neutral Precursor Structure
2025-07-24,Advertising & Digital Marketing,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-24,Aerospace & Fighter Aircraft,,NONE,,,,,,8.3,Neutral Precursor Structure
2025-07-24,Architectural Glass & Windows,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-24,Auto Castings & Heavy Forgings,,NONE,,,,,,21.4,Neutral Precursor Structure
2025-07-24,Auto Lighting & Electricals,,NONE,,,,,,25.0,Neutral Precursor Structure
2025-07-24,Auto Transmission & Driveline,,NONE,,,,,,20.0,Neutral Precursor Structure
2025-07-24,Automotive Radial Tyres,,NONE,,,,,,25.0,Neutral Precursor Structure
2025-07-24,Ayurvedic & Herbal Care,,NONE,,,,,,20.0,Neutral Precursor Structure
2025-07-24,Basmati Rice Milling & Global Exports,,NONE,,,,,,21.4,Neutral Precursor Structure
2025-07-24,Biopharma & Biosimilars,,NONE,,,,,,18.8,Neutral Precursor Structure
2025-07-24,Building Materials,,NONE,,,,,,11.1,Neutral Precursor Structure
2025-07-24,Business Process Management (BPM),,NONE,,,,,,14.3,Neutral Precursor Structure
2025-07-24,CDMO & Sterile Injectables,,NONE,,,,,,30.0,Broad Breadth Expansion
2025-07-24,Ceramic Tiles & Sanitaryware,,NONE,,,,,,10.7,Neutral Precursor Structure
2025-07-24,Civil & Commercial Construction,,NONE,,,,,,16.4,Neutral Precursor Structure
2025-07-24,Commercial & Industrial Electronics EMS,,NONE,,,,,,21.4,Neutral Precursor Structure
2025-07-24,Commercial Ports & Terminals,,NONE,,,,,,25.0,Neutral Precursor Structure
2025-07-24,Commodity & Wholesale Trading,,NONE,,,,,,10.0,Neutral Precursor Structure
2025-07-24,Consumer Internet Platforms & Apps,,NONE,,,,,,20.0,Neutral Precursor Structure
2025-07-24,Conventional Thermal & Fossil Power,,NONE,,,,,,6.4,Neutral Precursor Structure
2025-07-24,Corporate & Wholesale Finance,,NONE,,,,,,16.7,Neutral Precursor Structure
2025-07-24,Cotton Spinning & Yarns,,NONE,,,,,,26.1,Neutral Precursor Structure
2025-07-24,Crop Protection Agrochemicals,,NONE,,,,,,10.7,Neutral Precursor Structure
2025-07-24,Crop Protection Formulations,,NONE,,,,,,35.7,Broad Breadth Expansion
2025-07-24,Decorative Paints,,NONE,,,,,,21.4,Neutral Precursor Structure
2025-07-24,Defence Electronics & Radars,,NONE,,,,,,20.0,Neutral Precursor Structure
2025-07-24,Diagnostic & Pathology Labs,,NONE,,,,,,30.0,Broad Breadth Expansion
2025-07-24,Diversified Consumer & MSME NBFC,,NONE,,,,,,14.4,Neutral Precursor Structure
2025-07-24,Edible Oils & Vanaspati,,NONE,,,,,,17.9,Neutral Precursor Structure
