date,industry,early_radar_score,alert_level,prob_1d,prob_3d,prob_5d,expected_lead_days,accumulation_pressure,cross_stock_synchronization,feature_explanation
2026-08-25,Heavy Process Equipment & Machinery,,NONE,,,,,,53.1,Volatility Compression
2026-08-25,Heavy Process Plant Equipment,,NONE,,,,,,55.0,Volatility Compression | Broad Breadth Expansion
2026-08-25,Heavy Switchgear & Automation,,NONE,,,,,,53.8,Neutral Precursor Structure
2026-08-25,Home Appliances (White Goods),,NONE,,,,,,41.7,Volatility Compression
2026-08-25,Home Textiles,,NONE,,,,,,50.0,Volatility Compression
2026-08-25,Hospitals & Healthcare Chains,,NONE,,,,,,37.5,Volatility Compression
2026-08-25,Housing Finance (HFC),,NONE,,,,,,25.0,Volatility Compression
2026-08-25,Hybrid Seeds & Agri Inputs,,NONE,,,,,,50.0,Volatility Compression
2026-08-25,IMFL Spirits & Distilleries,,NONE,,,,,,39.3,Volatility Compression
2026-08-25,IT Distribution & Enterprise Infra,,NONE,,,,,,30.0,Volatility Compression
2026-08-25,Industrial & Basic Chemicals,,NONE,,,,,,47.9,Volatility Compression
2026-08-25,Industrial Compressors & Pumps,,NONE,,,,,,27.8,Neutral Precursor Structure
2026-08-25,"Industrial Effluent, Desalination & ZLD",,NONE,,,,,,22.7,Volatility Compression
2026-08-25,Industrial Minerals,,NONE,,,,,,39.3,Neutral Precursor Structure
2026-08-25,Integrated Grey Cement,,NONE,,,,,,50.0,Volatility Compression
2026-08-25,Kitchen Homeware & Cookware,,NONE,,,,,,31.2,Volatility Compression
2026-08-25,Life Insurance,,NONE,,,,,,41.7,Volatility Compression
2026-08-25,Liquid Milk & Value-Added Dairy,,NONE,,,,,,90.0,High Cross-Stock Synchronization | Broad Breadth Expansion
2026-08-25,Lubricants & Specialty Oils,,NONE,,,,,,30.0,Volatility Compression
2026-08-25,Luxury Hotels & Resorts,,NONE,,,,,,40.5,Volatility Compression
2026-08-25,Marine Offshore Vessels & Tugs,,NONE,,,,,,50.0,Volatility Compression
2026-08-25,Material Handling & Cranes,,NONE,,,,,,40.9,Volatility Compression
2026-08-25,Medical Clinics & Equipment,,NONE,,,,,,33.3,Volatility Compression
2026-08-25,Metals & Fabrication,,NONE,,,,,,57.1,Volatility Compression | Broad Breadth Expansion
2026-08-25,Micro-Irrigation & Agri-Plastics,,NONE,,,,,,40.0,Volatility Compression
2026-08-25,Microfinance (MFI),,NONE,,,,,,50.0,Volatility Compression
2026-08-25,Mid-Tier IT & Digital Solutions,,NONE,,,,,,33.2,Volatility Compression
2026-08-25,Missiles & Military Explosives,,NONE,,,,,,33.3,Volatility Compression
2026-08-25,Music Labels & VFX Studios,,NONE,,,,,,32.1,Volatility Compression
2026-08-25,Mutual Fund Asset Managers (AMC),,NONE,,,,,,50.0,Volatility Compression
2026-08-25,Oil & Gas Exploration (E&P),,NONE,,,,,,14.3,Neutral Precursor Structure
2026-08-25,Online Travel Agency (OTA) & Flight Booking,,NONE,,,,,,30.0,Volatility Compression
2026-08-25,Optical Fiber & Telecom Infrastructure,,NONE,,,,,,26.5,Volatility Compression
2026-08-25,Packaged Foods & Snacks,,NONE,,,,,,46.8,Volatility Compression
2026-08-25,Paperboard & Packaging Cartons,,NONE,,,,,,43.5,Volatility Compression
2026-08-25,Passenger Airlines,,NONE,,,,,,20.0,Neutral Precursor Structure
2026-08-25,Passenger Vehicles (Cars & SUVs),,NONE,,,,,,58.3,Volatility Compression | Broad Breadth Expansion
2026-08-25,Personal Care & Soaps,,NONE,,,,,,40.0,Broad Breadth Expansion
2026-08-25,Pigments & Dyes,,NONE,,,,,,50.0,Volatility Compression
2026-08-25,Plastic & CPVC Pipes,,NONE,,,,,,25.0,Neutral Precursor Structure
2026-08-25,Plywood & Laminates,,NONE,,,,,,50.0,Neutral Precursor Structure
2026-08-25,Power & Distribution Transformers,,NONE,,,,,,61.1,Neutral Precursor Structure
2026-08-25,Precision Auto Engine Components,,NONE,,,,,,42.8,Volatility Compression
2026-08-25,Precision Bearings & Motion Controls,,NONE,,,,,,41.7,Volatility Compression
2026-08-25,Precision Defence Machining,,NONE,,,,,,41.7,Volatility Compression | Broad Breadth Expansion
2026-08-25,Precision Machine Tools & Fasteners,,NONE,,,,,,44.2,Volatility Compression
2026-08-25,Precision Metal Fabrication,,NONE,,,,,,25.0,Volatility Compression
2026-08-25,Precision Powertrain Engine Components,,NONE,,,,,,53.8,Volatility Compression | Broad Breadth Expansion
2026-08-25,Primary Aluminium,,NONE,,,,,,68.2,High Cross-Stock Synchronization | Volatility Compression
2026-08-25,Print Media & Publishing,,NONE,,,,,,40.0,Volatility Compression
2026-08-25,Printed Circuit Boards (PCBA) & Components,,NONE,,,,,,30.0,Volatility Compression
2026-08-25,Private Sector Banks,,NONE,,,,,,66.7,High Cross-Stock Synchronization | Volatility Compression | Broad Breadth Expansion
2026-08-25,Public Sector Banks (PSU),,NONE,,,,,,50.0,Volatility Compression | Broad Breadth Expansion
2026-08-25,Pumps & Compressors,,NONE,,,,,,25.0,Volatility Compression
2026-08-25,Railway Signaling & Track EPC,,NONE,,,,,,33.3,Volatility Compression
2026-08-25,Refining & Petrochemicals,,NONE,,,,,,37.5,Volatility Compression
2026-08-25,Regional Cement & RMC,,NONE,,,,,,21.4,Volatility Compression
2026-08-25,Residential Real Estate,,NONE,,,,,,42.4,Volatility Compression
2026-08-25,Residential Townships & Commercial REITs,,NONE,,,,,,42.9,Volatility Compression
2026-08-25,Roads & Highways EPC,,NONE,,,,,,32.1,Volatility Compression
2026-08-25,"Rolling Stock, Wagons & Vande Bharat Trainsets",,NONE,,,,,,25.0,Volatility Compression
2026-08-25,Secondary Steel & TMT Rebars,,NONE,,,,,,49.3,Volatility Compression
2026-08-25,Solar PV & Green Hydrogen,,NONE,,,,,,18.0,Volatility Compression
2026-08-25,Specialty Chemicals,,NONE,,,,,,50.8,Volatility Compression
2026-08-25,Specialty Retail Boutiques,,NONE,,,,,,44.7,Volatility Compression
2026-08-25,Sports & Athleisure Footwear,,NONE,,,,,,43.8,Neutral Precursor Structure
2026-08-25,Staffing & Security Services,,NONE,,,,,,55.6,Volatility Compression
2026-08-25,Staffing & Workforce Security,,NONE,,,,,,46.7,Volatility Compression
2026-08-25,Steel Pipes & Tubes,,NONE,,,,,,46.9,Volatility Compression
2026-08-25,Stockbroking & Wealth Management,,NONE,,,,,,30.6,Volatility Compression
2026-08-25,Sugar Refining & Bio-Ethanol,,NONE,,,,,,68.4,High Cross-Stock Synchronization | Volatility Compression | Broad Breadth Expansion
2026-08-25,Tea & Coffee Plantations,,NONE,,,,,,37.5,Volatility Compression
2026-08-25,Tea Plantations & Packaging,,NONE,,,,,,62.5,Neutral Precursor Structure
2026-08-25,Telecom Cellular Operators,,NONE,,,,,,50.0,Neutral Precursor Structure
2026-08-25,Television Broadcasting & OTT,,NONE,,,,,,26.9,Volatility Compression
2026-08-25,Tertiary Hospitals & Clinics,,NONE,,,,,,66.7,High Cross-Stock Synchronization | Volatility Compression | Broad Breadth Expansion
2026-08-25,Tier-1 IT Services,,NONE,,,,,,41.7,Volatility Compression
2026-08-25,Wealth Broking & Advisory,,NONE,,,,,,50.0,Neutral Precursor Structure
2026-08-25,Wind Turbines & Wind Energy,,NONE,,,,,,33.3,Volatility Compression
2026-08-25,Wires & Cables,,NONE,,,,,,41.7,Volatility Compression
2026-08-25,Zinc & Non-Ferrous Alloys,,NONE,,,,,,41.7,Neutral Precursor Structure
