date,industry,early_radar_score,alert_level,prob_1d,prob_3d,prob_5d,expected_lead_days,accumulation_pressure,cross_stock_synchronization,feature_explanation
2025-07-23,3PL Logistics & Fleet Haulage,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,API & Bulk Drugs,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Advertising & Digital Marketing,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Aerospace & Fighter Aircraft,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Architectural Glass & Windows,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Auto Castings & Heavy Forgings,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Auto Lighting & Electricals,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Auto Transmission & Driveline,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Automotive Radial Tyres,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Ayurvedic & Herbal Care,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Basmati Rice Milling & Global Exports,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Biopharma & Biosimilars,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Building Materials,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Business Process Management (BPM),,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,CDMO & Sterile Injectables,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Ceramic Tiles & Sanitaryware,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Civil & Commercial Construction,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Commercial & Industrial Electronics EMS,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Commercial Ports & Terminals,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Commodity & Wholesale Trading,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Consumer Internet Platforms & Apps,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Conventional Thermal & Fossil Power,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Corporate & Wholesale Finance,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Cotton Spinning & Yarns,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Crop Protection Agrochemicals,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Crop Protection Formulations,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Decorative Paints,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Defence Electronics & Radars,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Diagnostic & Pathology Labs,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Diversified Consumer & MSME NBFC,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Edible Oils & Vanaspati,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Education Academies & Publishing,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Electric Vehicles (EV),,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Engineering R&D (ER&D),,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Enterprise Software & SaaS,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Express Parcel & Courier,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Fashion Apparel Retail,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Fast Moving Electrical Goods (FMEG),,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Fertilizers & Soil Nutrients,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Film Theatres & Broadcast Media,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Finished Formulations,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Flexible Packaging Films,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Fluorochemicals,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Footwear Retail Chains,,NONE,,,,,,0.0,Neutral Precursor Structure
2025-07-23,Freight Forwarding & Multi-Modal Cargo,,NONE,,,,,,0.0,Neutral Precursor Structure
