date,industry,early_radar_score,alert_level,prob_1d,prob_3d,prob_5d,expected_lead_days,accumulation_pressure,cross_stock_synchronization,feature_explanation
2025-08-06,3PL Logistics & Fleet Haulage,,NONE,,,,,31.9,11.4,Neutral Precursor Structure
2025-08-06,API & Bulk Drugs,,NONE,,,,,20.5,12.5,Neutral Precursor Structure
2025-08-06,Advertising & Digital Marketing,,NONE,,,,,24.6,10.0,Neutral Precursor Structure
2025-08-06,Aerospace & Fighter Aircraft,,NONE,,,,,22.2,0.0,Neutral Precursor Structure
2025-08-06,Auto Castings & Heavy Forgings,,NONE,,,,,44.9,15.4,Neutral Precursor Structure
2025-08-06,Auto Lighting & Electricals,,NONE,,,,,28.6,16.7,Neutral Precursor Structure
2025-08-06,Auto Transmission & Driveline,,NONE,,,,,18.9,15.0,Neutral Precursor Structure
2025-08-06,Automotive Radial Tyres,,NONE,,,,,21.5,0.0,Neutral Precursor Structure
2025-08-06,Ayurvedic & Herbal Care,,NONE,,,,,26.6,30.0,Neutral Precursor Structure
2025-08-06,Basmati Rice Milling & Global Exports,,NONE,,,,,26.8,14.3,Neutral Precursor Structure
2025-08-06,Biopharma & Biosimilars,,NONE,,,,,20.5,12.5,Neutral Precursor Structure
2025-08-06,Building Materials,,NONE,,,,,50.7,33.3,Neutral Precursor Structure
2025-08-06,Business Process Management (BPM),,NONE,,,,,46.6,56.2,Neutral Precursor Structure
2025-08-06,CDMO & Sterile Injectables,,NONE,,,,,21.6,0.0,Neutral Precursor Structure
2025-08-06,Ceramic Tiles & Sanitaryware,,NONE,,,,,42.1,23.3,Neutral Precursor Structure
2025-08-06,Civil & Commercial Construction,,NONE,,,,,35.2,23.4,Neutral Precursor Structure
2025-08-06,Commercial & Industrial Electronics EMS,,NONE,,,,,58.6,18.8,Neutral Precursor Structure
2025-08-06,Commercial Ports & Terminals,,NONE,,,,,49.4,21.1,Neutral Precursor Structure
2025-08-06,Commodity & Wholesale Trading,,NONE,,,,,59.6,38.9,Neutral Precursor Structure
2025-08-06,Consumer Internet Platforms & Apps,,NONE,,,,,29.5,10.0,Neutral Precursor Structure
2025-08-06,Conventional Thermal & Fossil Power,,NONE,,,,,46.4,33.3,Neutral Precursor Structure
2025-08-06,Corporate & Wholesale Finance,,NONE,,,,,61.0,30.0,Neutral Precursor Structure
2025-08-06,Cotton Spinning & Yarns,,NONE,,,,,18.1,13.4,Neutral Precursor Structure
2025-08-06,Crop Protection Agrochemicals,,NONE,,,,,18.4,21.4,Neutral Precursor Structure
2025-08-06,Crop Protection Formulations,,NONE,,,,,14.2,28.6,Neutral Precursor Structure
2025-08-06,Decorative Paints,,NONE,,,,,48.6,57.1,Neutral Precursor Structure
2025-08-06,Defence Electronics & Radars,,NONE,,,,,50.4,40.0,Neutral Precursor Structure
2025-08-06,Diagnostic & Pathology Labs,,NONE,,,,,16.8,40.0,Broad Breadth Expansion
2025-08-06,Diversified Consumer & MSME NBFC,,NONE,,,,,32.9,19.7,Neutral Precursor Structure
2025-08-06,Edible Oils & Vanaspati,,NONE,,,,,28.6,15.4,Neutral Precursor Structure
2025-08-06,Education Academies & Publishing,,NONE,,,,,22.1,29.2,Neutral Precursor Structure
2025-08-06,Electric Vehicles (EV),,NONE,,,,,20.4,25.0,Neutral Precursor Structure
