regime,sample_count,v32_acc,v34_acc,acc_delta,v32_mae,v34_mae,v34_rank_ic
HIGH_VOLATILITY,2387,61.5,63.3,1.8,5.9,4.39,0.1314
SIDEWAYS,1948,52.05,52.05,0.0,11.68,11.68,-0.0503
WEAK_BEAR,15425,59.29,59.29,0.0,9.76,9.26,0.1283
WEAK_BULL,10703,44.17,58.52,14.34,8.46,6.16,0.1356
