strength_bucket,prediction_count,avg_actual_return_pct,median_actual_return_pct,hit_rate_pct,rank_ic,forecast_mae_pct
0-30,127,-2.91,-5.12,57.48,-0.0187,11.64
30-50,22010,-2.59,-2.46,63.62,0.0833,7.36
50-70,8123,-0.58,-0.86,46.12,0.0681,9.25
70-80,140,1.16,0.88,54.29,-0.1073,12.09
80-90,51,1.95,-1.89,37.25,-0.177,17.43
90-100,12,10.73,6.78,75.0,0.0211,11.19
