session_date,regime,matured_obs_1D,v32_1d_acc,v34_1d_acc,v34_ta_1d_acc,mae_1D,status
2026-08-24,BEAR,299,48.16%,45.82%,45.48%,1.15%,MATURED_1D_RECONCILED
2026-08-25,SIDEWAYS,0,PENDING,PENDING,PENDING,PENDING,PENDING_HORIZON
2026-08-26,SIDEWAYS,0,PENDING,PENDING,PENDING,PENDING,PENDING_HORIZON
2026-08-27,BULL,0,PENDING,PENDING,PENDING,PENDING,PENDING_HORIZON
