regime,observations,v32_accuracy,v34_accuracy,v34_ta_accuracy,v32_rank_ic,v34_rank_ic,v34_ta_rank_ic
HIGH_VOLATILITY,2387,61.5,63.3,63.3,0.134,0.1314,0.1335
SIDEWAYS,1948,52.05,52.05,52.0,-0.0503,-0.0503,-0.0203
WEAK_BEAR,15425,59.29,59.29,59.29,-0.0199,0.1283,0.1341
WEAK_BULL,10703,44.17,58.52,58.44,-0.012,0.1356,0.1432
