model_name,total_predictions,common_universe_count,unique_count,status
MODEL_V3.2_FROZEN,1196,1196,0,100%_ALIGNED
MODEL_V3.4_QUANT,1196,1196,0,100%_ALIGNED
MODEL_NORTHFLOW_V34_TA_VETO_SHADOW,1196,1196,0,100%_ALIGNED
