session_date,raw_predictions,valid_predictions,invalid_predictions,duplicate_predictions,matured_1D,pending_1D,universe_definition
2026-08-24,299,299,0,10,299,0,Full Active 289-299 Basic Industries (stock_classification_master_v3)
2026-08-25,299,299,0,10,0,299,Full Active 289-299 Basic Industries (stock_classification_master_v3)
2026-08-26,299,299,0,10,0,299,Full Active 289-299 Basic Industries (stock_classification_master_v3)
2026-08-27,299,299,0,10,0,299,Full Active 289-299 Basic Industries (stock_classification_master_v3)
