Metric,Observed_Value,Bootstrap_Mean,CI_95_Lower,CI_95_Upper,P_Value_Positive
Rank_IC,0.1143,0.0895,-0.1139,0.2511,0.836
Top_Bottom_Decile_Spread,2.46,2.63,-2.06,6.77,0.898
Sharpe_Ratio,-0.53,0.3,-0.25,0.76,0.898
