regime,sample_count,v32_acc,v34_acc,acc_delta,v32_mae,v34_mae,mae_delta
HIGH_VOLATILITY,2387,61.5,63.3,1.8,5.9,4.39,1.51
SIDEWAYS,1948,52.05,52.05,0.0,11.68,11.68,0.0
WEAK_BEAR,15425,59.29,59.29,0.0,9.76,9.26,0.5
WEAK_BULL,10703,44.17,58.52,14.34,8.46,6.16,2.3
