horizon,v32_acc,v34_acc,v32_mae,v34_mae,winner
1D,51.2,52.8,2.1,1.95,V3.4
5D,52.4,54.6,4.5,4.15,V3.4
20D,53.69,58.87,9.12,7.94,V3.4 (+5.18 pp)
60D,54.1,60.2,14.8,12.6,V3.4 (+6.10 pp)
