sample_index,prediction_id,prediction_date,prediction_timestamp,latest_allowed_source_timestamp,industry,v34_predicted_return,actual_20D_return,lookahead_detected,pit_compliance
5218,PRED_V60_d0c453df2185,2024-12-19,2024-12-19T08:30:00,2024-12-19T08:30:00,Aerospace & Defence,-2.41,-8.93,False,VERIFIED_CLEAN
5548,PRED_V60_0318ec46027f,2024-12-24,2024-12-24T08:30:00,2024-12-24T08:30:00,Passenger Cars & Utility Vehicles,-0.1187,-2.63,False,VERIFIED_CLEAN
19575,PRED_V60_3f7f504a19c6,2025-05-28,2025-05-28T08:30:00,2025-05-28T08:30:00,Bearings & Friction Solutions,1.644,-1.82,False,VERIFIED_CLEAN
11290,PRED_V60_f7dd065ee393,2025-02-20,2025-02-20T08:30:00,2025-02-20T08:30:00,Breweries & Distilleries,0.9325,1.27,False,VERIFIED_CLEAN
423,PRED_V60_691ebecc286b,2024-10-30,2024-10-30T08:30:00,2024-10-30T08:30:00,Lubricants & Specialty Oils,0.0435,-5.67,False,VERIFIED_CLEAN
2457,PRED_V60_b9c8969a5a58,2024-11-21,2024-11-21T08:30:00,2024-11-21T08:30:00,Software Products & Digital Services,-3.0842,0.88,False,VERIFIED_CLEAN
4235,PRED_V60_e06e404a3227,2024-12-10,2024-12-10T08:30:00,2024-12-10T08:30:00,Steel Manufacturing & Mining,1.0222,-6.04,False,VERIFIED_CLEAN
21720,PRED_V60_a174761afdcc,2025-06-18,2025-06-18T08:30:00,2025-06-18T08:30:00,Hospitals & Healthcare Services,0.9231,5.82,False,VERIFIED_CLEAN
23946,PRED_V60_202f93dbc7ee,2025-07-11,2025-07-11T08:30:00,2025-07-11T08:30:00,Financial Services,-1.9319,-5.47,False,VERIFIED_CLEAN
22557,PRED_V60_a3be0c9931ca,2025-06-26,2025-06-26T08:30:00,2025-06-26T08:30:00,Healthcare,-2.1614,0.29,False,VERIFIED_CLEAN
28672,PRED_V60_39a8eabd1427,2026-07-08,2026-07-08T08:30:00,2026-07-08T08:30:00,Steel Manufacturing & Mining,1.1418,8.81,False,VERIFIED_CLEAN
8480,PRED_V60_5cef60ac8dc2,2025-01-22,2025-01-22T08:30:00,2025-01-22T08:30:00,Paints,-2.9067,-3.44,False,VERIFIED_CLEAN
6632,PRED_V60_60f73392f622,2025-01-03,2025-01-03T08:30:00,2025-01-03T08:30:00,Pipes & Tubes,-5.61,-13.7,False,VERIFIED_CLEAN
21519,PRED_V60_a110082c3fbd,2025-06-17,2025-06-17T08:30:00,2025-06-17T08:30:00,Cement & Clinker,-3.4023,2.56,False,VERIFIED_CLEAN
18418,PRED_V60_fc7b90ee4358,2025-05-15,2025-05-15T08:30:00,2025-05-15T08:30:00,Power,2.3397,3.71,False,VERIFIED_CLEAN
4209,PRED_V60_b1f26dafea95,2024-12-10,2024-12-10T08:30:00,2024-12-10T08:30:00,Packaging & Containers,-1.6753,-7.95,False,VERIFIED_CLEAN
27072,PRED_V60_4e535b161dbd,2025-08-13,2025-08-13T08:30:00,2025-08-13T08:30:00,Water & Wastewater Treatment,-1.0565,-22.92,False,VERIFIED_CLEAN
16443,PRED_V60_3c339d5f69c1,2025-04-23,2025-04-23T08:30:00,2025-04-23T08:30:00,Residential & Commercial Real Estate,-2.0563,0.51,False,VERIFIED_CLEAN
5532,PRED_V60_7c766a981735,2024-12-23,2024-12-23T08:30:00,2024-12-23T08:30:00,Pharmaceuticals & Biotechnology,-3.496,-5.01,False,VERIFIED_CLEAN
5388,PRED_V60_2b56016ee393,2024-12-20,2024-12-20T08:30:00,2024-12-20T08:30:00,Microfinance NBFC,-4.88,8.41,False,VERIFIED_CLEAN
7800,PRED_V60_a917e7493f77,2025-01-15,2025-01-15T08:30:00,2025-01-15T08:30:00,Realty,-1.8587,-12.01,False,VERIFIED_CLEAN
4058,PRED_V60_f59e17c2ab1d,2024-12-09,2024-12-09T08:30:00,2024-12-09T08:30:00,Dairy Products,-1.442,-12.77,False,VERIFIED_CLEAN
14234,PRED_V60_b9f405c29b5c,2025-03-26,2025-03-26T08:30:00,2025-03-26T08:30:00,Renewable Energy Financing NBFC,-0.6,3.98,False,VERIFIED_CLEAN
8880,PRED_V60_8280fa5b62d2,2025-01-27,2025-01-27T08:30:00,2025-01-27T08:30:00,Tyres & Rubber Products,-0.5488,-9.43,False,VERIFIED_CLEAN
15582,PRED_V60_1bff5d52a185,2025-04-11,2025-04-11T08:30:00,2025-04-11T08:30:00,Packaging & Containers,2.3195,6.54,False,VERIFIED_CLEAN
6887,PRED_V60_77f515345ab8,2025-01-07,2025-01-07T08:30:00,2025-01-07T08:30:00,Plastic Pipes & Fittings,0.2317,-10.84,False,VERIFIED_CLEAN
12375,PRED_V60_570e86c82f5e,2025-03-05,2025-03-05T08:30:00,2025-03-05T08:30:00,Ceramics & Tiles,0.8771,-3.98,False,VERIFIED_CLEAN
22540,PRED_V60_674fe89c804f,2025-06-26,2025-06-26T08:30:00,2025-06-26T08:30:00,Telecommunication,1.7838,-6.97,False,VERIFIED_CLEAN
3835,PRED_V60_13e10da5c607,2024-12-05,2024-12-05T08:30:00,2024-12-05T08:30:00,Electronic Manufacturing Services (EMS),-2.0727,-5.02,False,VERIFIED_CLEAN
25555,PRED_V60_cef508623cc6,2025-07-29,2025-07-29T08:30:00,2025-07-29T08:30:00,Packaging Materials & Containers,-3.29,-6.16,False,VERIFIED_CLEAN
15516,PRED_V60_d3d464277145,2025-04-09,2025-04-09T08:30:00,2025-04-09T08:30:00,Structural Steel Tubes & Pipes,0.5824,15.95,False,VERIFIED_CLEAN
