symbol,company_name,series,inferred_sme_status,current_macro_sector,current_industry,exposure_v3_sector,exposure_v3_industry,exposure_v3_confidence,v3_master_industry,primary_conflict,all_conflicts,conflict_count,review_status
FREDUN,Fredun Pharmaceuticals Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
GESHIP,The Great Eastern Shipping Company Limited,EQ,NON_SME,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,HIGH,nan,LOGISTICS_NAME_WRONG_INDUSTRY,"LOGISTICS_NAME_WRONG_INDUSTRY: Name implies 'Logistics' but stocks.industry='Marine Offshore Vessels & Tugs' (exp_v3='Marine Offshore Vessels & Tugs', aligned=False)",1,REVIEW_REQUIRED
GLAND,Gland Pharma Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
GPTHEALTH,GPT Healthcare Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,NON_SME,PROFESSIONAL & CONSUMER SERVICES,Consumer Internet & Super Apps,PROFESSIONAL & CONSUMER SERVICES,Consumer Internet & Super Apps,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Consumer Internet & Super Apps' (exp_v3='Consumer Internet & Super Apps', aligned=False)",1,REVIEW_REQUIRED
HATHWAY,Hathway Cable & Datacom Limited,EQ,NON_SME,CONSUMER ELECTRICALS,Wires & Cables,CONSUMER ELECTRICALS,Wires & Cables,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Wires & Cables' (exp_v3='Wires & Cables', aligned=False)",1,REVIEW_REQUIRED
HBESD,HB Estate Developers Limited,EQ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,nan,LIKELY_REAL_ESTATE_IN_WRONG_SECTOR,"LIKELY_REAL_ESTATE_IN_WRONG_SECTOR: Name implies 'Likely' but stocks.industry='Precision Auto Engine Components' (exp_v3='Precision Auto Engine Components', aligned=False)",1,REVIEW_REQUIRED
HCG,Healthcare Global Enterprises Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
HDIL,Housing Development and Infrastructure Limited,BZ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,nan,LIKELY_REAL_ESTATE_IN_WRONG_SECTOR,"LIKELY_REAL_ESTATE_IN_WRONG_SECTOR: Name implies 'Likely' but stocks.industry='Precision Auto Engine Components' (exp_v3='Precision Auto Engine Components', aligned=False)",1,REVIEW_REQUIRED
HMVL,Hindustan Media Ventures Limited,BE,NON_SME,FINANCE & NBFC,Diversified Consumer & MSME NBFC,FINANCE & NBFC,Diversified Consumer & MSME NBFC,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='Diversified Consumer & MSME NBFC' (exp_v3='Diversified Consumer & MSME NBFC', aligned=False)",1,REVIEW_REQUIRED
HTMEDIA,HT Media Limited,EQ,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='Paperboard & Packaging Cartons' (exp_v3='Paperboard & Packaging Cartons', aligned=False)",1,REVIEW_REQUIRED
IKIO,IKIO Technologies Limited,EQ,NON_SME,CONSUMER ELECTRICALS,Fast Moving Electrical Goods (FMEG),CONSUMER ELECTRICALS,Fast Moving Electrical Goods (FMEG),HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Fast Moving Electrical Goods (FMEG)' (exp_v3='Fast Moving Electrical Goods (FMEG)', aligned=False)",1,REVIEW_REQUIRED
IMAGICAA,Imagicaaworld Entertainment Limited,EQ,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='Paperboard & Packaging Cartons' (exp_v3='Paperboard & Packaging Cartons', aligned=False)",1,REVIEW_REQUIRED
INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
INDSWFTLAB,Ind-Swift Laboratories Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
INFOMEDIA,Infomedia Press Limited,EQ,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='Paperboard & Packaging Cartons' (exp_v3='Paperboard & Packaging Cartons', aligned=False)",1,REVIEW_REQUIRED
IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
IPCALAB,IPCA Laboratories Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
IRB,IRB Infrastructure Developers Limited,EQ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,nan,LIKELY_REAL_ESTATE_IN_WRONG_SECTOR,"LIKELY_REAL_ESTATE_IN_WRONG_SECTOR: Name implies 'Likely' but stocks.industry='Precision Auto Engine Components' (exp_v3='Precision Auto Engine Components', aligned=False)",1,REVIEW_REQUIRED
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
JENBURPH,Jenburkt Pharmaceuticals Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
JHS,JHS Svendgaard Laboratories Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
JINDALPOLY,Jindal Poly Films Limited,EQ,NON_SME,MEDIA & ENTERTAINMENT,Music Labels & VFX Studios,MEDIA & ENTERTAINMENT,Music Labels & VFX Studios,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='Music Labels & VFX Studios' (exp_v3='Music Labels & VFX Studios', aligned=False)",1,REVIEW_REQUIRED
JITFINFRA,JITF Infralogistics Limited,EQ,NON_SME,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,HIGH,nan,LOGISTICS_NAME_WRONG_INDUSTRY,"LOGISTICS_NAME_WRONG_INDUSTRY: Name implies 'Logistics' but stocks.industry='Civil & Commercial Construction' (exp_v3='Civil & Commercial Construction', aligned=False)",1,REVIEW_REQUIRED
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,EQ,NON_SME,CONSUMER ELECTRICALS,Wires & Cables,CONSUMER ELECTRICALS,Wires & Cables,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Wires & Cables' (exp_v3='Wires & Cables', aligned=False)",1,REVIEW_REQUIRED
KFINTECH,Kfin Technologies Limited,EQ,NON_SME,CAPITAL MARKETS,Mutual Fund Registrar & Transfer Agent,CAPITAL MARKETS,Mutual Fund Registrar & Transfer Agent,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Mutual Fund Registrar & Transfer Agent' (exp_v3='Mutual Fund Registrar & Transfer Agent', aligned=False)",1,REVIEW_REQUIRED
KILITCH,Kilitch Drugs (India) Limited,BE,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
KIMS,Krishna Institute of Medical Sciences Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
KOLTEPATIL,Kolte - Patil Developers Limited,EQ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,nan,LIKELY_REAL_ESTATE_IN_WRONG_SECTOR,"LIKELY_REAL_ESTATE_IN_WRONG_SECTOR: Name implies 'Likely' but stocks.industry='Precision Auto Engine Components' (exp_v3='Precision Auto Engine Components', aligned=False)",1,REVIEW_REQUIRED
KPL,Kwality Pharmaceuticals Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
LINCOLN,Lincoln Pharmaceuticals Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
LODHA,Lodha Developers Limited,EQ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,nan,LIKELY_REAL_ESTATE_IN_WRONG_SECTOR,"LIKELY_REAL_ESTATE_IN_WRONG_SECTOR: Name implies 'Likely' but stocks.industry='Precision Auto Engine Components' (exp_v3='Precision Auto Engine Components', aligned=False)",1,REVIEW_REQUIRED
LOTUSDEV,Sri Lotus Developers and Realty Limited,BE,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,nan,LIKELY_REAL_ESTATE_IN_WRONG_SECTOR,"LIKELY_REAL_ESTATE_IN_WRONG_SECTOR: Name implies 'Likely' but stocks.industry='Precision Auto Engine Components' (exp_v3='Precision Auto Engine Components', aligned=False)",1,REVIEW_REQUIRED
LUMAXTECH,Lumax Auto Technologies Limited,EQ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Precision Auto Engine Components' (exp_v3='Precision Auto Engine Components', aligned=False)",1,REVIEW_REQUIRED
MAHLIFE,Mahindra Lifespace Developers Limited,EQ,NON_SME,REAL ESTATE,Residential Townships & Commercial REITs,REAL ESTATE,Residential Townships & Commercial REITs,HIGH,nan,LIKELY_REAL_ESTATE_IN_WRONG_SECTOR,"LIKELY_REAL_ESTATE_IN_WRONG_SECTOR: Name implies 'Likely' but stocks.industry='Residential Townships & Commercial REITs' (exp_v3='Residential Townships & Commercial REITs', aligned=False)",1,REVIEW_REQUIRED
MAKERSL,Makers Laboratories Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
MANGALAM,Mangalam Drugs And Organics Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
MANKIND,Mankind Pharma Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
MARKOLINES,Markolines Pavement Technologies Limited,EQ,NON_SME,CONSTRUCTION & INFRASTRUCTURE,Roads & Highways EPC,CONSTRUCTION & INFRASTRUCTURE,Roads & Highways EPC,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Roads & Highways EPC' (exp_v3='Roads & Highways EPC', aligned=False)",1,REVIEW_REQUIRED
MARKSANS,Marksans Pharma Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
MAXESTATES,Max Estates Limited,EQ,NON_SME,TEA & COFFEE,Tea Plantations & Packaging,TEA & COFFEE,Tea Plantations & Packaging,HIGH,nan,LIKELY_REAL_ESTATE_IN_WRONG_SECTOR,"LIKELY_REAL_ESTATE_IN_WRONG_SECTOR: Name implies 'Likely' but stocks.industry='Tea Plantations & Packaging' (exp_v3='Tea Plantations & Packaging', aligned=False)",1,REVIEW_REQUIRED
MAXHEALTH,Max Healthcare Institute Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
MEDIASSIST,Medi Assist Healthcare Services Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
MEP,MEP Infrastructure Developers Limited,BZ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,nan,LIKELY_REAL_ESTATE_IN_WRONG_SECTOR,"LIKELY_REAL_ESTATE_IN_WRONG_SECTOR: Name implies 'Likely' but stocks.industry='Precision Auto Engine Components' (exp_v3='Precision Auto Engine Components', aligned=False)",1,REVIEW_REQUIRED
METROPOLIS,Metropolis Healthcare Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
MMWL,Media Matrix Worldwide Limited,EQ,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='Paperboard & Packaging Cartons' (exp_v3='Paperboard & Packaging Cartons', aligned=False)",1,REVIEW_REQUIRED
MOREPENLAB,Morepen Laboratories Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
MOSCHIP,Moschip Technologies Limited,EQ,NON_SME,IT SERVICES,Engineering R&D (ER&D),IT SERVICES,Engineering R&D (ER&D),HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Engineering R&D (ER&D)' (exp_v3='Engineering R&D (ER&D)', aligned=False)",1,REVIEW_REQUIRED
MTARTECH,Mtar Technologies Limited,BE,NON_SME,DEFENCE & AEROSPACE,Precision Defence Machining,DEFENCE & AEROSPACE,Precision Defence Machining,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Precision Defence Machining' (exp_v3='Precision Defence Machining', aligned=False)",1,REVIEW_REQUIRED
NAHARPOLY,Nahar Poly Films Limited,EQ,NON_SME,MEDIA & ENTERTAINMENT,Music Labels & VFX Studios,MEDIA & ENTERTAINMENT,Music Labels & VFX Studios,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='Music Labels & VFX Studios' (exp_v3='Music Labels & VFX Studios', aligned=False)",1,REVIEW_REQUIRED
NATCOPHARM,Natco Pharma Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
NAZARA,Nazara Technologies Limited,EQ,NON_SME,MEDIA & ENTERTAINMENT,"Gaming, Esports & Mobile Games",MEDIA & ENTERTAINMENT,"Gaming, Esports & Mobile Games",HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Gaming, Esports & Mobile Games' (exp_v3='Gaming, Esports & Mobile Games', aligned=False)",1,REVIEW_REQUIRED
NDTV,New Delhi Television Limited,EQ,NON_SME,AUTO ANCILLARIES,Auto Lighting & Electricals,AUTO ANCILLARIES,Auto Lighting & Electricals,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='Auto Lighting & Electricals' (exp_v3='Auto Lighting & Electricals', aligned=False)",1,REVIEW_REQUIRED
NETWEB,Netweb Technologies India Limited,EQ,NON_SME,DATA CENTERS & CLOUD,AI Servers & Supercomputing Hardware,DATA CENTERS & CLOUD,AI Servers & Supercomputing Hardware,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='AI Servers & Supercomputing Hardware' (exp_v3='AI Servers & Supercomputing Hardware', aligned=False)",1,REVIEW_REQUIRED
NETWORK18,Network18 Media & Investments Limited,EQ,NON_SME,FINANCE & NBFC,Diversified Consumer & MSME NBFC,FINANCE & NBFC,Diversified Consumer & MSME NBFC,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='Diversified Consumer & MSME NBFC' (exp_v3='Diversified Consumer & MSME NBFC', aligned=False)",1,REVIEW_REQUIRED
NEULANDLAB,Neuland Laboratories Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
NEXTMEDIA,Next Mediaworks Limited,EQ,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='Paperboard & Packaging Cartons' (exp_v3='Paperboard & Packaging Cartons', aligned=False)",1,REVIEW_REQUIRED
NIVABUPA,Niva Bupa Health Insurance Company Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,INSURANCE_NAME_WRONG_INDUSTRY,"INSURANCE_NAME_WRONG_INDUSTRY: Name implies 'Insurance' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
OFSS,Oracle Financial Services Software Limited,EQ,NON_SME,FINANCE & NBFC,Diversified Consumer & MSME NBFC,FINANCE & NBFC,Diversified Consumer & MSME NBFC,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Diversified Consumer & MSME NBFC' (exp_v3='Diversified Consumer & MSME NBFC', aligned=False)",1,REVIEW_REQUIRED
ONESOURCE,Onesource Specialty Pharma Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
ORCHPHARMA,Orchid Pharma Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
PAISALO,Paisalo Digital Limited,EQ,NON_SME,FINANCE & NBFC,Diversified Consumer & MSME NBFC,FINANCE & NBFC,Diversified Consumer & MSME NBFC,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Diversified Consumer & MSME NBFC' (exp_v3='Diversified Consumer & MSME NBFC', aligned=False)",1,REVIEW_REQUIRED
PANSARI,Pansari Developers Limited,EQ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,nan,LIKELY_REAL_ESTATE_IN_WRONG_SECTOR,"LIKELY_REAL_ESTATE_IN_WRONG_SECTOR: Name implies 'Likely' but stocks.industry='Precision Auto Engine Components' (exp_v3='Precision Auto Engine Components', aligned=False)",1,REVIEW_REQUIRED
