symbol,company_name,series,inferred_sme_status,current_macro_sector,current_industry,exposure_v3_sector,exposure_v3_industry,exposure_v3_confidence,v3_master_industry,primary_conflict,all_conflicts,conflict_count,review_status
ALLCARGO,Allcargo Logistics Limited,EQ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,nan,LOGISTICS_NAME_WRONG_INDUSTRY,"LOGISTICS_NAME_WRONG_INDUSTRY: Name implies 'Logistics' but stocks.industry='Precision Auto Engine Components' (exp_v3='Precision Auto Engine Components', aligned=False)",1,REVIEW_REQUIRED
ALPA,Alpa Laboratories Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
AMAGI,Amagi Media Labs Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
AMANTA,Amanta Healthcare Limited,BE,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
ANUHPHR,Anuh Pharma Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
APLLTD,Alembic Pharmaceuticals Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
ARKADE,Arkade Developers Limited,EQ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,nan,LIKELY_REAL_ESTATE_IN_WRONG_SECTOR,"LIKELY_REAL_ESTATE_IN_WRONG_SECTOR: Name implies 'Likely' but stocks.industry='Precision Auto Engine Components' (exp_v3='Precision Auto Engine Components', aligned=False)",1,REVIEW_REQUIRED
ARVEE,Arvee Laboratories (India) Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
ATL,Allcargo Terminals Limited,EQ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,nan,LOGISTICS_NAME_WRONG_INDUSTRY,"LOGISTICS_NAME_WRONG_INDUSTRY: Name implies 'Logistics' but stocks.industry='Precision Auto Engine Components' (exp_v3='Precision Auto Engine Components', aligned=False)",1,REVIEW_REQUIRED
