filter_id,market_cap_threshold,min_turnover,include_sme,eligible_count,page,selected_industry,expected_constituent_count,actual_constituent_count,leaked_symbols,score_recalculated,cache_consistent,status
PRESET_MCAP_750,750.0,0.0,False,1669,Industry Intelligence / Drilldown,Finished Formulations,116,116,NONE,YES,YES,PASS
PRESET_MCAP_750,750.0,0.0,False,1669,Industry Intelligence / Drilldown,Diversified Consumer & MSME NBFC,64,64,NONE,YES,YES,PASS
PRESET_MCAP_750,750.0,0.0,False,1669,Industry Intelligence / Drilldown,Commercial Office & Mixed-Use Real Estate,1,1,NONE,YES,YES,PASS
PRESET_MCAP_750,750.0,0.0,False,1669,Industry Intelligence / Drilldown,Residential Townships & Commercial REITs,20,20,NONE,YES,YES,PASS
PRESET_MCAP_1000,1000.0,0.0,False,1594,Industry Intelligence / Drilldown,Tea & Coffee,0,0,NONE,YES,YES,PASS
PRESET_MCAP_1000,1000.0,0.0,False,1594,Industry Intelligence / Drilldown,Precision Auto Engine Components,99,99,NONE,YES,YES,PASS
PRESET_MCAP_1000,1000.0,0.0,False,1594,Industry Intelligence / Drilldown,Finished Formulations,113,113,NONE,YES,YES,PASS
PRESET_MCAP_1000,1000.0,0.0,False,1594,Industry Intelligence / Drilldown,Diversified Consumer & MSME NBFC,57,57,NONE,YES,YES,PASS
PRESET_MCAP_1000,1000.0,0.0,False,1594,Industry Intelligence / Drilldown,Commercial Office & Mixed-Use Real Estate,1,1,NONE,YES,YES,PASS
PRESET_MCAP_1000,1000.0,0.0,False,1594,Industry Intelligence / Drilldown,Residential Townships & Commercial REITs,19,19,NONE,YES,YES,PASS
PRESET_MCAP_2500,2500.0,0.0,False,1365,Industry Intelligence / Drilldown,Tea & Coffee,0,0,NONE,YES,YES,PASS
PRESET_MCAP_2500,2500.0,0.0,False,1365,Industry Intelligence / Drilldown,Precision Auto Engine Components,80,80,NONE,YES,YES,PASS
PRESET_MCAP_2500,2500.0,0.0,False,1365,Industry Intelligence / Drilldown,Finished Formulations,102,102,NONE,YES,YES,PASS
PRESET_MCAP_2500,2500.0,0.0,False,1365,Industry Intelligence / Drilldown,Diversified Consumer & MSME NBFC,50,50,NONE,YES,YES,PASS
PRESET_MCAP_2500,2500.0,0.0,False,1365,Industry Intelligence / Drilldown,Commercial Office & Mixed-Use Real Estate,1,1,NONE,YES,YES,PASS
PRESET_MCAP_2500,2500.0,0.0,False,1365,Industry Intelligence / Drilldown,Residential Townships & Commercial REITs,14,14,NONE,YES,YES,PASS
PRESET_MCAP_5000,5000.0,0.0,False,1138,Industry Intelligence / Drilldown,Tea & Coffee,0,0,NONE,YES,YES,PASS
PRESET_MCAP_5000,5000.0,0.0,False,1138,Industry Intelligence / Drilldown,Precision Auto Engine Components,69,69,NONE,YES,YES,PASS
PRESET_MCAP_5000,5000.0,0.0,False,1138,Industry Intelligence / Drilldown,Finished Formulations,87,87,NONE,YES,YES,PASS
PRESET_MCAP_5000,5000.0,0.0,False,1138,Industry Intelligence / Drilldown,Diversified Consumer & MSME NBFC,42,42,NONE,YES,YES,PASS
